Address,Atlanta Building ID,Blank ,Views by Parameter,City,ENERGY STAR Score,Number of Buildings,Number of Records,Postal Code,Grouped Property Types,Primary Property Type - Self Selected,Property GFA - Calculated (Buildings) (ft²),Property Id,Property Name,Property Notes,Site EUI (kBtu/ft²),Site Energy Use (kBtu),State/ Province,Table Names,Total GHG Emissions (Metric Tons CO2e) (group),Total GHG Emissions (Metric Tons CO2e),Water Use (kGal),Water Use Intensity (gal/ft²),Year Built,Year Ending,Year
150 Carnegie Way,266494_A, ,,Atlanta,,1,1,30303,"Other, Mixed Use",Parking,51000,4482133,150 Carnegie Way,This property also includes Atlanta Building ID 266494_B.,3.2,163200,Georgia,Data Request_Atlanta 2017 Transparency Report (16).xlsx/2017 CEP,25.300000000000001,25.3,9,0.18,1965,12/31/2016,1/1/2017
134 John Wesley Dobbs Ave Ne,277494, ,,Atlanta,,1,1,30303,Storage & Distribution,Self-Storage Facility,56836,4479577,27808-Atlanta/Johnwesleydobbs Ave NE,Not Available,13.1,744552,Georgia,Data Request_Atlanta 2017 Transparency Report (16).xlsx/2017 CEP,114.099999999999,114.100000000,110,1.94,2001,12/31/2016,1/1/2017
265 Washington Street SW,351187, ,54,Atlanta,54,1,1,30303,Worship,Worship Facility,19000,6372707,Trinity United Methodist Church,Not Available,34.8,661200,Georgia,Data Request_Atlanta 2017 Transparency Report (16).xlsx/2017 CEP,71.400000000000006,71.4,928.6,48.87,1912,12/31/2016,1/1/2017
3300 Peachtree Road,958602, ,26,Atlanta,26,1,1,30305,Lodging,Hotel,434925,4226784,Atlanta Grand Hyatt,Not Available,101.1,43970900,Georgia,Data Request_Atlanta 2017 Transparency Report (16).xlsx/2017 CEP,4993.8999999999896,4993.900000000,28545,65.63,1990,12/31/2016,1/1/2017
"540 Pharr Road, NE",132980, ,62,Atlanta,62,1,1,30305,Lodging,Hotel,62000,4458876,Staybridge Suites Atlanta/Buckhead,Not Available,75.5,4681000,Georgia,Data Request_Atlanta 2017 Transparency Report (16).xlsx/2017 CEP,581.20000000000005,581.2,2949.3,47.57,2004,12/31/2016,1/1/2017
3566 Piedmont Rd,527983, ,70,Atlanta,70,1,1,30305,Lodging,Hotel,88554,5732967,Homewood Suites Atlanta Buckhead,"The water consumption for October 2015 was estimated as the consumption data was not available from the utility or other sources. The estimate was based on typical October consumption and consumption for September and November 2015.

The parking lot area was estimated using the Measure Area tool on Google Maps to estimate the area based on the satellite imagery.",65.8,5826850,Georgia,Data Request_Atlanta 2017 Transparency Report (16).xlsx/2017 CEP,677.20000000000005,677.2,2830.6,31.96,1997,12/31/2016,1/1/2017
3566 Piedmont Rd,Not Available, ,71,Atlanta,71,1,1,30305,Lodging,Hotel,88554,6168897,Homewood Suites Atlanta Buckhead,"The water consumption for October 2015 was estimated as the consumption data was not available from the utility or other sources. The estimate was based on typical October consumption and consumption for September and November 2015.

The parking lot area was estimated using the Measure Area tool on Google Maps to estimate the area based on the satellite imagery.",64.8,5738300,Georgia,Data Request_Atlanta 2017 Transparency Report (16).xlsx/2017 CEP,672.5,672.5,2755.8,31.12,1997,12/31/2016,1/1/2017
Eighty-Eight West Paces Ferry Rd NW,655784, ,78,Atlanta,78,1,1,30305,Lodging,Hotel,634000,6390983,05S2J-The St. Regis Atlanta,Not Available,50.7,32143800,Georgia,Data Request_Atlanta 2017 Transparency Report (16).xlsx/2017 CEP,3447.0999999999899,3447.100000000,9472,14.94,2009,12/31/2016,1/1/2017
3398 Piedmont Rd NE,767595, ,100,Atlanta,100,1,1,30305,Lodging,Hotel,182000,6077770,Hampton Inn Atlanta-Buckhead,Not Available,30,5460000,Georgia,Data Request_Atlanta 2017 Transparency Report (16).xlsx/2017 CEP,623.0,623,2943.1,16.17,1988,12/31/2016,1/1/2017
3645 Habersham Road NE,160668, ,9,Atlanta,9,1,1,30305,Multi Family,Multifamily Housing,96912,5733267,Tremont,Not Available,54.2,5252630,Georgia,Data Request_Atlanta 2017 Transparency Report (16).xlsx/2017 CEP,671.60000000000002,671.6,11.5,0.12,2009,12/31/2016,1/1/2017
2460 Peachtree Rd NW,261497, ,100,Atlanta,100,1,1,30305,Multi Family,Multifamily Housing,297686,4898822,2460 Peachtree,Not Available,23.3,6936080,Georgia,Data Request_Atlanta 2017 Transparency Report (16).xlsx/2017 CEP,839.5,839.5,9369.6,31.47,1983,12/31/2016,1/1/2017
2660 PEACHTREE ROAD NW,266584, ,100,Atlanta,100,1,1,30305,Multi Family,Multifamily Housing,1292343,6424598,Jill Haire,Not Available,7.8,10080300,Georgia,Data Request_Atlanta 2017 Transparency Report (16).xlsx/2017 CEP,1538.3,1538.3,14150,10.95,1989,12/31/2016,1/1/2017
384 Woodward Way,991792, ,,Atlanta,,1,1,30305,Municipal,Municipal,11234,4293076,DPRCA-Atlanta Memorial Park,Gas data: There is no gas data for this site from either the gas company or UMS.,0,0,Georgia,Data Request_Atlanta 2017 Transparency Report (16).xlsx/2017 CEP,No Values Given,0,,,1932,12/31/2016,1/1/2017
308 Peachtree Hills Avenue,502217, ,,Atlanta,,1,1,30305,Municipal,Municipal,8200,3965355,DPRCA-P.Tree Hills Rec Center ~ Gym,Not Available,112,918400,Georgia,Data Request_Atlanta 2017 Transparency Report (16).xlsx/2017 CEP,113.90000000000001,113.9,,,2002,12/31/2016,1/1/2017
3050 Peachtree Rd NW,520929, ,88,Atlanta,88,1,1,30305,Office,Office,205000,4947842,Two Buckhead Plaza,Not Available,47.7,9778500,Georgia,Data Request_Atlanta 2017 Transparency Report (16).xlsx/2017 CEP,1500.7,1500.7,13248.1,64.62,2006,12/31/2016,1/1/2017
3030 Peachtree Rd,6354628, ,,Atlanta,,1,1,30305,Retail/ Entertainment,Retail Store,68000,6354628,RH,Not Available,117.5,7990000,Georgia,Data Request_Atlanta 2017 Transparency Report (16).xlsx/2017 CEP,1222.4000000000001,1222.4,,,2014,12/31/2016,1/1/2017
2799 Northside Drive,966548, ,40,Atlanta,40,1,1,30305,Worship,Worship Facility,150000,6437527,Northside United Methodist Church,Not Available,38.3,5745000,Georgia,Data Request_Atlanta 2017 Transparency Report (16).xlsx/2017 CEP,738.60000000000002,738.6,109.9,0.73,1990,12/31/2016,1/1/2017
1063 North Highland Ave NE,595357, ,,Atlanta,,1,1,30306,Municipal,Fire Station,5024,3963163,Fire Station 19,Not Available,94.3,473763,Georgia,Data Request_Atlanta 2017 Transparency Report (16).xlsx/2017 CEP,49.0,49,,,1925,12/31/2016,1/1/2017
"1125 Ponce de Leon Avenue, N.E.",613673, ,36,Atlanta,36,1,1,30306,Multi Family,Multifamily Housing,74012,3909807,Salvation Army William Booth Towers,Federal Property? No. Private property owned by federal grant recipient (Project-based Section 8 rent subsidy contract),58.1,4300100,Georgia,Data Request_Atlanta 2017 Transparency Report (16).xlsx/2017 CEP,538.0,538,3537.3,47.79,1987,12/31/2016,1/1/2017
1320 Monroe Drive,221822, ,,Atlanta,,1,1,30306,"Other, Mixed Use",Other,38160,4293077,WW-Clear Creek CSO,"Data notes: According to UMS and gas utility, there is no data for this address.",0,0,Georgia,Data Request_Atlanta 2017 Transparency Report (16).xlsx/2017 CEP,No Values Given,0,,,2005,12/31/2016,1/1/2017
1001 Pnce De Leon Avenue NE,Not Available, ,58,Atlanta,58,1,1,30306,Retail/ Entertainment,Supermarket/Grocery Store,39716,5925893,Publix Store 724,Atlanta Building ID #483695,251.7,9996520,Georgia,Data Request_Atlanta 2017 Transparency Report (16).xlsx/2017 CEP,1382.0,1382,1327.7,33.43,2001,12/31/2016,1/1/2017
"1288 Dekalb Avenue, NE",388893, ,,Atlanta,,1,1,30307,Municipal,Fire Station,8822,3963160,Fire Station 12,Gas data: There is no usage for Nov. 2014 according to the utility.,76.1,671354,Georgia,Data Request_Atlanta 2017 Transparency Report (16).xlsx/2017 CEP,65.099999999999895,65.100000000,,,1959,12/31/2016,1/1/2017
1500 McLendon Avenue,905068, ,,Atlanta,,1,1,30307,Municipal,Municipal,2874,3926278,DPRCA-Candler Park-Bath House,Gas data: There is no gas data from UMS or utility.,75.6,217274,Georgia,Data Request_Atlanta 2017 Transparency Report (16).xlsx/2017 CEP,33.299999999999898,33.300000000,,,1980,12/31/2016,1/1/2017
1139 North Avenue,272066, ,,Atlanta,,1,1,30307,Municipal,Municipal,18944,4293089,DPRCA-Maddox Park-Greenhouse,"Water data: no account at address.

Gas data: There is no data for Nov. 2014 from gas company.",226.9,4298390,Georgia,Data Request_Atlanta 2017 Transparency Report (16).xlsx/2017 CEP,278.10000000000002,278.1,,,1987,12/31/2016,1/1/2017
1083 Austin Avenue,630328, ,,Atlanta,,1,1,30307,Retail/ Entertainment,Other - Entertainment/Public Assembly,33000,4777405,Little 5 Points Center for Arts & Community,Project Engineer: Abby,56.2,1854600,Georgia,Data Request_Atlanta 2017 Transparency Report (16).xlsx/2017 CEP,176.0,176,262,7.94,1918,12/31/2016,1/1/2017
"447 Boulevard, S.E. Unit 59032",227709, ,,Atlanta,,1,1,30308,Municipal,Fire Station,8862,3963159,Fire Station 10,Not Available,88.9,787832,Georgia,Data Request_Atlanta 2017 Transparency Report (16).xlsx/2017 CEP,78.700000000000003,78.7,,,1959,12/31/2016,1/1/2017
45 Ivan Allen Jr. Blvd,955784_a, ,1,Atlanta,1,1,1,30308,Lodging,Hotel,171406,5023699,W Atlanta - Downtown,Not Available,201.1,34469700,Georgia,Data Request_Atlanta 2017 Transparency Report (16).xlsx/2017 CEP,4541.1999999999898,4541.200000000,12387,72.27,2000,12/31/2016,1/1/2017
45 Ivan Allen Jr Blvd NW,955784, ,2,Atlanta,2,1,1,30308,Lodging,Hotel,171406,6407367,42S1L-W Atlanta Downtown,Not Available,132,22625592,Georgia,Data Request_Atlanta 2017 Transparency Report (16).xlsx/2017 CEP,3268.5,3268.5,8842,51.58,2009,12/31/2016,1/1/2017
683 Peachtree St NE,348680, ,62,Atlanta,62,1,1,30308,Lodging,Hotel,70268,4971342,ATI-Atlanta Peachtree,Not Available,76,5340368,Georgia,Data Request_Atlanta 2017 Transparency Report (16).xlsx/2017 CEP,646.70000000000005,646.7,3397,48.34,2000,12/31/2016,1/1/2017
330 W Peachtree St NW,120692, ,74,Atlanta,74,1,1,30308,Lodging,Hotel,55000,4552166,Best Western Plus,Square footage of building is estimated.,76.2,4191000,Georgia,Data Request_Atlanta 2017 Transparency Report (16).xlsx/2017 CEP,468.10000000000002,468.1,5181.4,94.21,1959,12/31/2016,1/1/2017
650 North Avenue Northeast,921974, ,,Atlanta,,1,1,30308,Hospital/Medical,Lifestyle Center,84439,4473879,Ponce City Market - Service Building,"GP# 6933228049- BB CA, Dance G, 2Fl 202 Vac, Parking & Common Areas--Added 'Parking and Common Areas' to meter name based on email from Melissa Ward (8/9/16)",7.7,650180,Georgia,Data Request_Atlanta 2017 Transparency Report (16).xlsx/2017 CEP,99.200000000000003,99.2,1517,17.97,1946,12/31/2016,1/1/2017
660 Peachtree Street NE,Not Available, ,,Atlanta,,1,1,30308,Retail/ Entertainment,Movie Theater,250000,6314909,Fox Theatre,Not Available,62.5,15625000,Georgia,Data Request_Atlanta 2017 Transparency Report (16).xlsx/2017 CEP,1825.9000000000001,1825.9,5343.6,21.37,1929,12/31/2016,1/1/2017
400 Merrits Avenue,329881, ,,Atlanta,,1,1,30308,Municipal,Municipal,21780,3965350,DPRCA-Central Park-Rec Center ~ Gym,Gas data: There is no gas data from mid-2014 from either UMS or utility.,35.3,768834,Georgia,Data Request_Atlanta 2017 Transparency Report (16).xlsx/2017 CEP,117.90000000000001,117.9,,,1990,12/31/2016,1/1/2017
"544 Angier Avenue, NE",642943, ,,Atlanta,,1,1,30308,Municipal,Municipal,5766,3965353,DPRCA-J. D. Sims Rec Center,Not Available,89.7,517210,Georgia,Data Request_Atlanta 2017 Transparency Report (16).xlsx/2017 CEP,53.100000000000001,53.1,,,2005,12/31/2016,1/1/2017
395 Piedmont Road,205228, ,,Atlanta,,1,1,30308,Municipal,Municipal,231161,3987914,DPRCA-Atlanta Civic Center,"Water data: Two accounts for this address. One is for the Bureau of Cultural Affairs and is listed as a “non-metered account” with no data reported; the second is for the Bouisfeuillet Jones Civic 
Center and is shown as a grease management account with no data reported.",46.6,10772100,Georgia,Data Request_Atlanta 2017 Transparency Report (16).xlsx/2017 CEP,1521.5,1521.5,,,2005,12/31/2016,1/1/2017
715 Peachtree Street,Not Available, ,,Atlanta,,1,1,30308,Office,Office,318445,5871074,715 Peachtree Street,Not Available,21.9,6973950,Georgia,Data Request_Atlanta 2017 Transparency Report (16).xlsx/2017 CEP,1060.9000000000001,1060.9,1096.7,3.44,1972,12/31/2016,1/1/2017
675 Ponce De Leon,163570, ,61,Atlanta,61,1,1,30308,Office,Office,993880,5042586,Ponce City Market- Main Building,"8/1/16- use details (# of computers and workers on main shift including part time employees) were estimated based on spreadsheet sent by Jamestown.

Acct #21993-52024- electric bill off by ~$490 each month (doesn't include Ga Power base charges)",69,68577720,Georgia,Data Request_Atlanta 2017 Transparency Report (16).xlsx/2017 CEP,10442.5,10442.5,27990.7,28.16,1927,12/31/2016,1/1/2017
303 Peachtree Street Northeast,221913, ,67,Atlanta,67,1,1,30308,Office,Office,1200204,4373094,SunTrust Plaza Office - 10,"*Not to be included in DOE metrics. Building system must be discussed 

This property is just an estimation to gain a sense of what the Energy Star Score would be. The SunTrust Garden Center and Plaza have been split into two properties.",69.5,83414178,Georgia,Data Request_Atlanta 2017 Transparency Report (16).xlsx/2017 CEP,12760.9,12760.9,7450.7,6.21,1992,12/31/2016,1/1/2017
817 West Peachtree St NE,211816, ,69,Atlanta,69,1,1,30308,Office,Office,298841,5930655,The Biltmore,Not Available,70.1,20948800,Georgia,Data Request_Atlanta 2017 Transparency Report (16).xlsx/2017 CEP,3205.3000000000002,3205.3,5547.4,18.56,1924,12/31/2016,1/1/2017
25 Auburn Ave,836445, ,,Atlanta,,1,1,30308,"Other, Mixed Use",Other,15800,4571991,0101 25 Auburn Ave  Old Bell Building,"No water consumption for 2014, building unoccupied.",0.2,3160,Georgia,Data Request_Atlanta 2017 Transparency Report (16).xlsx/2017 CEP,0.59999999999999898,0.600000000,,,1907,12/31/2016,1/1/2017
43 Auburn Ave,Not Available, ,,Atlanta,,1,1,30308,"Other, Mixed Use",Parking,292083,4343241,"0098b Parking Deck ""T"" (South)",Not Available,6.3,1840120,Georgia,Data Request_Atlanta 2017 Transparency Report (16).xlsx/2017 CEP,265.69999999999902,265.700000000,,,1985,12/31/2016,1/1/2017
650 Ponce De Leon Ave.,362254, ,74,Atlanta,74,1,1,30308,Retail/ Entertainment,Retail Store,131534,4520100,#0159 Mid-Town,Not Available,62.4,8207720,Georgia,Data Request_Atlanta 2017 Transparency Report (16).xlsx/2017 CEP,993.29999999999905,993.300000000,2043.8,15.54,2000,12/31/2016,1/1/2017
"176 10th Street, NE Unit 5909",541280, ,,Atlanta,,1,1,30309,Municipal,Fire Station,6500,3963177,Fire Station 15,"TO DO LIST (as of 10.20.2014):

1. Gross Floor Area could not be verified by drawings, as they are not the as-built version. Based on google maps engine, the facility is 9,069 sf and not 9,900. This must be verified by COA.

2. Water usage is 0 for 2009-2010, indicating a potential error. They also appear to be using almost 3 times as much water as a comparable fire station with similar number of occupants. 

3. Gas data must be vetted by COA comparing it to AGL's data.",107.7,700050,Georgia,Data Request_Atlanta 2017 Transparency Report (16).xlsx/2017 CEP,79.299999999999898,79.300000000,,,1986,12/31/2016,1/1/2017
165 16th Street NE,315371, ,,Atlanta,,1,1,30309,Municipal,Fire Station,14445,3963171,Fire Station 11,Water data: The account is a Fire Services Account (normally an internal fire system such as a sprinkler) and shows no usage.,63.6,918702,Georgia,Data Request_Atlanta 2017 Transparency Report (16).xlsx/2017 CEP,104.90000000000001,104.9,,,2010,12/31/2016,1/1/2017
2171 Peachtree Road NW,771047, ,95,Atlanta,95,1,1,30309,Multi Family,Multifamily Housing,154127,5733268,Mezzo,Not Available,30,4623810,Georgia,Data Request_Atlanta 2017 Transparency Report (16).xlsx/2017 CEP,576.0,576,30.3,0.2,2008,12/31/2016,1/1/2017
1045 Piedmont Ave NE,324486, ,100,Atlanta,100,1,1,30309,Multi Family,Multifamily Housing,33322,5733273,1045 on the Park Apartment Homes,Not Available,6.9,229922,Georgia,Data Request_Atlanta 2017 Transparency Report (16).xlsx/2017 CEP,35.100000000000001,35.1,1013,30.4,2012,12/31/2016,1/1/2017
1085 Piedmont Avenue,887116, ,,Atlanta,,1,1,30309,Municipal,Municipal,10281,3934901,DPRCA-Piedmont Pk-Pool ~ Bath House,Water data: no account at address.,15.8,162440,Georgia,Data Request_Atlanta 2017 Transparency Report (16).xlsx/2017 CEP,24.5,24.5,,,1926,12/31/2016,1/1/2017
1275 Piedmont Ave,652874, ,,Atlanta,,1,1,30309,Municipal,Municipal,10363,4293108,DPRCA-Piedmont Park,"Water data: no account at address.
Gas data: the gas data at this address is attached to the Piedmont Park Pool and Bath House.",49.8,516077,Georgia,Data Request_Atlanta 2017 Transparency Report (16).xlsx/2017 CEP,79.200000000000003,79.2,,,1995,12/31/2016,1/1/2017
1430 W Peachtree St.,820821, ,24,Atlanta,24,1,1,30309,Office,Office,73992,4526614,1430 W Peachtree Office Condominium,Not Available,80.3,5941560,Georgia,Data Request_Atlanta 2017 Transparency Report (16).xlsx/2017 CEP,909.0,909,1131.6,15.29,1959,12/31/2016,1/1/2017
"1230 Peachtree St., NE",363281, ,76,Atlanta,76,1,1,30309,Office,Office,807933,3987187,Promenade [clean],Not Available,55.6,44921100,Georgia,Data Request_Atlanta 2017 Transparency Report (16).xlsx/2017 CEP,6888.3000000000002,6888.3,6985.5,8.65,1990,12/31/2016,1/1/2017
1776 Peachtree Street NW,362338, ,77,Atlanta,77,1,1,30309,Office,Office,215453,4489613,1776 Peachtree Street - 362338,Not Available,72.7,15663400,Georgia,Data Request_Atlanta 2017 Transparency Report (16).xlsx/2017 CEP,2150.9000000000001,2150.9,3137.9,14.56,1963,12/31/2016,1/1/2017
1230 West Peachtree ST NW,873428, ,83,Atlanta,83,1,1,30309,Office,Office,66070,4310995,1230 West Peachtree,Not Available,59.7,3944379,Georgia,Data Request_Atlanta 2017 Transparency Report (16).xlsx/2017 CEP,514.60000000000002,514.6,1311.1,19.84,1960,12/31/2016,1/1/2017
196 Montgomery Ferry Drive,464128, ,,Atlanta,,1,1,30309,"Museums, Performing Arts and Zoos",Other - Recreation,65000,6339246,Ansley Golf Club - Midtown,Not Available,148,9620000,Georgia,Data Request_Atlanta 2017 Transparency Report (16).xlsx/2017 CEP,1068.0999999999899,1068.100000000,4663.5,71.75,1930,12/31/2016,1/1/2017
1328 Peachtree Street NE,422029, ,,Atlanta,,1,1,30309,"Other, Mixed Use",Parking,6500,6442491,First Presbyterian Church of Atlanta,One meter only active mid 2016 and then 2 meters mid 2016 and 2017,,,Georgia,Data Request_Atlanta 2017 Transparency Report (16).xlsx/2017 CEP,No Values Given,,,,1965,12/31/2016,1/1/2017
268 Westminster Drive Ne,966203, ,,Atlanta,,1,1,30309,Storage & Distribution,Self-Storage Facility,90138,4479571,08391-Ansley Park,Not Available,10.9,982504,Georgia,Data Request_Atlanta 2017 Transparency Report (16).xlsx/2017 CEP,150.69999999999899,150.700000000,944,10.47,2006,12/31/2016,1/1/2017
1740 Peachtree St,798788, ,65,Atlanta,65,1,1,30309,Worship,Worship Facility,48000,6425519,ChristChurch Presbyterian,Not Available,29,1392000,Georgia,Data Request_Atlanta 2017 Transparency Report (16).xlsx/2017 CEP,185.40000000000001,185.4,99.2,2.07,2014,12/31/2016,1/1/2017
"590 Manford Road, SW",171224, ,,Atlanta,,1,1,30310,Municipal,Fire Station,4849,3926657,Fire Station 20,Water data: no data after Nov. 2014.,116.6,565393,Georgia,Data Request_Atlanta 2017 Transparency Report (16).xlsx/2017 CEP,55.700000000000003,55.7,,,1928,12/31/2016,1/1/2017
1489 Ralph D Abernathy Blvd SW,653510, ,,Atlanta,,1,1,30310,Municipal,Fire Station,7468,3963179,Fire Station 17,Not Available,82.4,615363,Georgia,Data Request_Atlanta 2017 Transparency Report (16).xlsx/2017 CEP,66.700000000000003,66.7,,,1987,12/31/2016,1/1/2017
"1203 Lee Street, SW Bldg 59762",881927, ,,Atlanta,,1,1,30310,Municipal,Fire Station,8000,3963161,Fire Station 14,Not Available,106.5,852000,Georgia,Data Request_Atlanta 2017 Transparency Report (16).xlsx/2017 CEP,84.900000000000006,84.9,,,2002,12/31/2016,1/1/2017
770 Deckner Avenue,845739, ,,Atlanta,,1,1,30310,Municipal,Municipal,6621,3935734,DPRCA-Perkerson Park ~ Rec Center,Gas Data: There is no Nov. 2014 gas data for this account.,153.9,1018970,Georgia,Data Request_Atlanta 2017 Transparency Report (16).xlsx/2017 CEP,123.7,123.7,,,1940,12/31/2016,1/1/2017
950 Garibaldi Street,448011, ,,Atlanta,,1,1,30310,Municipal,Municipal,28000,3965356,DPRCA-Pittman Park~Rec Ctr Pool-Bath,Not Available,58.1,1626800,Georgia,Data Request_Atlanta 2017 Transparency Report (16).xlsx/2017 CEP,212.0,212,,,1949,12/31/2016,1/1/2017
820 Murphy Avenue,101156, ,,Atlanta,,1,1,30310,Municipal,Municipal,16479,3935722,DPRCA-Adair Park ~ Warehouse,Not Available,38.1,627850,Georgia,Data Request_Atlanta 2017 Transparency Report (16).xlsx/2017 CEP,66.799999999999898,66.800000000,,,2001,12/31/2016,1/1/2017
999 LEE ST SW,14-0119-LL-019, ,1,Atlanta,1,1,1,30310,Office,Office,85758,4509457,CO/GLC ATGXGA/999 LEE ST SW/ATLANTA/GA,Not Available,307.5,26370585,Georgia,Data Request_Atlanta 2017 Transparency Report (16).xlsx/2017 CEP,4033.6999999999898,4033.700000000,139,1.62,1997,12/31/2016,1/1/2017
400 Manford Street,181885, ,,Atlanta,,1,1,30310,"Other, Mixed Use",Other,12920,4293091,WW-McDaniel Street -CSO,"Gas data: according to UMS and gas utility, there is no gas data for this address.",0,0,Georgia,Data Request_Atlanta 2017 Transparency Report (16).xlsx/2017 CEP,No Values Given,0,,,1980,12/31/2016,1/1/2017
"2825 Campbellton Road, SW",882996, ,,Atlanta,,1,1,30311,Municipal,Fire Station,12356,3963167,Fire Station 7,Fire Station 7 is currently shut down awaiting renovation. It is not in use.,39.5,488062,Georgia,Data Request_Atlanta 2017 Transparency Report (16).xlsx/2017 CEP,63.700000000000003,63.7,,,1910,12/31/2016,1/1/2017
"2349 Benjamin E. Mays Drive, SW",952975, ,,Atlanta,,1,1,30311,Municipal,Fire Station,5549,3963213,Fire Station 25,Not Available,164.6,913365,Georgia,Data Request_Atlanta 2017 Transparency Report (16).xlsx/2017 CEP,79.0,79,,,1949,12/31/2016,1/1/2017
"2825 Campbellton Road, SW",447679, ,,Atlanta,,1,1,30311,Municipal,Fire Station,9090,3963181,Fire Station 5,Not Available,88.3,802647,Georgia,Data Request_Atlanta 2017 Transparency Report (16).xlsx/2017 CEP,77.400000000000006,77.4,,,1991,12/31/2016,1/1/2017
2220 Campbellton Rd.,885125, ,,Atlanta,,1,1,30311,Retail/ Entertainment,Fitness Center/Health Club/Gym,84351,4075361,ANDREW YOUNG/Southwest,Not Available,64.5,5440640,Georgia,Data Request_Atlanta 2017 Transparency Report (16).xlsx/2017 CEP,622.0,622,4131.1,48.98,1950,12/31/2016,1/1/2017
1620 Delowe Drive,686054, ,,Atlanta,,1,1,30311,Municipal,Municipal,15450,4435889,DPRCA-Adams Park - Rec Building,Not Available,89.4,1381230,Georgia,Data Request_Atlanta 2017 Transparency Report (16).xlsx/2017 CEP,149.90000000000001,149.9,,,1978,12/31/2016,1/1/2017
3201 MLK Jr. Drive SW,478795, ,,Atlanta,,1,1,30311,Municipal,Municipal,137650,3965347,DPRCA-Adamsville Recreation Center,"Water data: registered meter, but no recorded activity.",87.6,12058140,Georgia,Data Request_Atlanta 2017 Transparency Report (16).xlsx/2017 CEP,1251.5,1251.5,,,2004,12/31/2016,1/1/2017
"2820 Campbellton Road, S.W.",6388112, ,100,Atlanta,100,1,1,30311,Office,Office,29640,6388112,DHB ENTERPRISES,Not Available,7.1,210444,Georgia,Data Request_Atlanta 2017 Transparency Report (16).xlsx/2017 CEP,32.0,32,68.5,2.31,1967,12/31/2016,1/1/2017
"309 Edgewood Ave, NE",307501, ,,Atlanta,,1,1,30312,Municipal,Fire Station,8964,3963180,Fire Station 4,Not Available,101,905364,Georgia,Data Request_Atlanta 2017 Transparency Report (16).xlsx/2017 CEP,104.5,104.5,,,2001,12/31/2016,1/1/2017
660 Ralph McGill Blvd NE,875255, ,99,Atlanta,99,1,1,30312,Multi Family,Multifamily Housing,377099,4738582,AMLI Parkside,Not Available,25.7,9691440,Georgia,Data Request_Atlanta 2017 Transparency Report (16).xlsx/2017 CEP,1484.0,1484,9488.1,25.16,2009,12/31/2016,1/1/2017
248 Oakland Avenue,337863, ,,Atlanta,,1,1,30312,Municipal,Municipal,4294,3935733,DPRCA-Oakland Cemetery-Sexton Bldg.,Water data: Account showing little usage through Jan. 2014.,79.2,340085,Georgia,Data Request_Atlanta 2017 Transparency Report (16).xlsx/2017 CEP,44.0,44,,,1850,12/31/2016,1/1/2017
537 Park Avenue,629882, ,,Atlanta,,1,1,30312,Municipal,Municipal,21735,3965352,DPRCA-Grant Park-Rec Center ~ Gym,Not Available,41.4,899829,Georgia,Data Request_Atlanta 2017 Transparency Report (16).xlsx/2017 CEP,104.90000000000001,104.9,,,1975,12/31/2016,1/1/2017
90 Boulevard NE,560718, ,,Atlanta,,1,1,30312,Municipal,Municipal,39862,3965354,DPRCA-M.L.K. Recreation Center,"Water data: no account at address
Gas data: There is no gas data at this address according to UMS and utility.",38.9,1550630,Georgia,Data Request_Atlanta 2017 Transparency Report (16).xlsx/2017 CEP,237.69999999999899,237.700000000,,,2002,12/31/2016,1/1/2017
"70 Boulevard, NE",784078, ,,Atlanta,,1,1,30312,Municipal,Municipal,39700,4293088,DPRCA-M.L.K. North Natatorium,"Gas data: There is no gas data from utility for this address.

Water data: there is no water data for this address.

This building is currently owned by the City but is shut down/not in use.",0.3,11910,Georgia,Data Request_Atlanta 2017 Transparency Report (16).xlsx/2017 CEP,2.1000000000000001,2.1,,,2005,12/31/2016,1/1/2017
98 William H. Borders Dr,772227, ,,Atlanta,,1,1,30312,Municipal,Municipal,9583,3965349,DPRCA-Butler Park-Rec Center,Not Available,36.8,352654,Georgia,Data Request_Atlanta 2017 Transparency Report (16).xlsx/2017 CEP,44.700000000000003,44.7,,,2005,12/31/2016,1/1/2017
250 Georgia Avenue,250555, ,,Atlanta,,1,1,30312,Municipal,Municipal,47521,4278148,OEAM-GA. Hill Neighborhood Ctr,Water data: no account at address.,61.8,2936800,Georgia,Data Request_Atlanta 2017 Transparency Report (16).xlsx/2017 CEP,374.80000000000001,374.8,,,2005,12/31/2016,1/1/2017
501 Pulliam Street SW,441996, ,8,Atlanta,8,1,1,30312,Office,Office,50000,4520713,IBEW Local 613,Not Available,92.2,4610000,Georgia,Data Request_Atlanta 2017 Transparency Report (16).xlsx/2017 CEP,705.20000000000005,705.2,2131.1,42.62,1968,12/31/2016,1/1/2017
815 Old Flat Shoals Road,434634, ,,Atlanta,,1,1,30312,"Other, Mixed Use",Other,66019,4293094,Public Works-Motor Transport,Water data: all meters are shut off or inactive.,46.8,3089690,Georgia,Data Request_Atlanta 2017 Transparency Report (16).xlsx/2017 CEP,216.0,216,,,1975,12/31/2016,1/1/2017
225 Baker Street,731349, ,,Atlanta,,1,1,30313,"Museums, Performing Arts and Zoos",Aquarium,604000,4470471,Georgia Aquarium,Not Available,341.3,206145200,Georgia,Data Request_Atlanta 2017 Transparency Report (16).xlsx/2017 CEP,28805.900000000001,28805.9,51095.9,84.6,2005,12/31/2016,1/1/2017
