Property Name,Reported,Property Type,Address,ZIP, Gross Area (sq ft) ,Site EUI (kBTU/sf),Energy Star Score,Energy Star Certified,Property Uses,Year Built, GHG Emissions (MTCO2e) ,GHG Intensity (kgCO2/sf), Total Site Energy (kBTU) ,% Electricity,% Gas,% Steam,Water Intensity (gal/sf), Onsite Renewable (kWh) ,User Submitted Info,User Submitted Link,Tax Parcel,Years Reported
21 Custom House,Compliant,Office,21 Custom House Street,02210,105197,73.8,72,,"Office, Parking",1984,595.1,5.7,7761222.4,1.00004139,,,12.07,,,,303988000,"2014, 2015, 2016, 2017, 2018, "
Penmark Condo Association,Compliant,Multifamily Housing,21 Father Francis Gilday Street,02118,74715,77.8,2,,Multifamily Housing,2009,385.4,5.2,5814101.4,0.55908556,0.440937603,,22.98,,,,801401510,"2015, 2016, 2017, 2018, "
Transorg LP c/o KeyPoint Partners LLC,Compliant,Other,21 Powerhouse Street,02127,59722,108.3,,,Other,1981,491.7,8.2,6467314.7,0.739027583,,,38.64,,"The water meter was changed out on October 24th, 2013. ",,603405100,"2014, 2015, 2016, 2017, 2018, "
Fort Point Place,Compliant,Multifamily Housing,21 Wormwood Street,02210,100000,62.2,28,,Multifamily Housing,2000,427.8,4.3,6220339.5,0.664847376,0.335180166,,25.8,,,,602753010,"2015, 2016, 2017, 2018, "
McNamara House (Whole Building Tracking): McNamara House (Whole Building Trac...,Compliant,Multifamily Housing,210 Everett Street,02134,63538,45.7,100,,Multifamily Housing,1981,167.7,2.6,2905526.9,0.19522601,0.804782081,,34.31,,,,2200864000,"2015, 2016, 2017, 2018, "
Armenise,Compliant,Laboratory,210 Longwood Ave,02115,133645,190,,,Laboratory,1905,1652.2,12.4,25395413.4,0.322679833,,0.337621198,35.97,,"The Medical Area Total Energy Plant (MATEP) located at 474 Brookline Ave., Boston supplies the majority of utilities (Steam, Chilled Water and Electricity) for the Harvard Medical School Campus. The Campus receives one utility invoice from MATEP. Buildings are individually sub metered",,401882000,"2014, 2015, 2016, 2017, 2018, "
Peabody Hall,Compliant,Residence Hall/Dormitory,210 Riverway,02215,60656,83.5,79,,Residence Hall/Dormitory,1910,296.2,4.9,5064672.1,0.228039666,0.77196981,,8.43,,,,401998000,"2015, 2016, 2017, 2018, "
Carney Hospital,Compliant,Hospital (General Medical & Surgical),2100 Dorchester Avenue,02124,540000,190.1,74,,Hospital (General Medical & Surgical),1953,6410.3,11.9,102640701.5,0.396466068,0.603550342,,50.64,,,,1605017010,"2014, 2015, 2016, 2017, 2018, "
211 Congress Street,Compliant,Office,211 Congress Street,02110,78101,77.6,76,,Office,1922,395.7,5.1,6061893.7,0.516436748,0.483584656,,18.73,,,,304398000,"2015, 2016, 2017, 2018, "
BC Cadigan Offices,Compliant,Office,2121 Commonwealth Avenue,02135,68729,47.6,94,"2017, 2013",Office,2007,214.8,3.1,3270109.6,0.534135549,0.465886525,,0,,Water usage for this property is filed under Boston College Parcel ID 2102473001.,,2205268040,"2018, "
Jamestown - 21-25 Drydock Ave Boston,Compliant,Office,21-25 Drydock Ave,02210,746766,67.2,87,,"Non-Refrigerated Warehouse, Office",1985,3321.2,4.4,50199017.2,0.508431836,0.44617926,,7.05,668093.4,,,602674013,"2014, 2015, 2016, 2017, 2018, "
213-217 Bay State Road,Compliant,Worship Facility,213-217 Bay State Road,02215,130204,38.4,,,Worship Facility,2003,314.8,2.4,5004333,0.449043005,0.550975549,,6.08,,,,504079000,"2014, 2015, 2016, 2017, 2018, "
Grand Families,Compliant,Multifamily Housing,214 Harvard St,02124,36352,22.8,100,,"Multifamily Housing, Parking",1962,49.1,1.4,829425.2,0.259160204,0.740850449,,46.83,,,,1402009000,"2017, 2018, "
The Church of Scientology,Compliant,Office,214 Lincoln Street,02134,68000,51.1,69,,Office,2000,236.4,3.5,3471717.4,0.635695695,0.364330571,,6.51,,,,2201328000,"2014, 2015, 2016, 2017, 2018, "
GAVIN,Municipal ,K-12 School,215 Dorchester,02127,108387,45.5,96,,K-12 School,1936,286,2.6,4928617.6,0.208501283,0.791507352,,Not Available,,,,700774000,"2016, 2017, 2018, "
2150 Comm Ave,Compliant,Multifamily Housing,2150 Commonwealth Ave,02135,294000,45.9,96,,Multifamily Housing,2016,831.7,2.8,13496062.1,0.361390252,0.638624697,,0,,Water usage for this property is filed under Boston College Parcel ID 2102473001.,,2102443000,"2015, 2016, 2017, 2018, "
2-16 hyde Park Ave,Compliant,Retail Store,2-16 Hyde park ave ,02130,176640,Not Available,,,"Multifamily Housing, Retail Store",1940,Not Available,Not Available,Not Available,,,,Not Available,,,,1103654000,"2017, 2018, "
"Mishawum Park: Bldgs 17, 18, and 20",Compliant,Multifamily Housing,216 Main Street,02129,30425,52.8,98,,Multifamily Housing,1974,93.1,3.1,1607852.9,0.201987555,0.798020752,,48.38,,,,202315000,"2015, 2016, 2017, 2018, "
216 Tremont,Compliant,College/University,216 Tremont Street,02116,45388,89.7,,,College/University,1926,289.8,6.4,4071515.7,0.464967391,,0.535051873,11.18,,,,304909000,"2016, 2017, 2018, "
Hanover,Compliant,Multifamily Housing,216-228 Hanover Street,02113,76200,48.3,100,,"Multifamily Housing, Restaurant, Retail Store",1920,206.3,2.7,3682510.5,0.123918068,0.876087081,,36.7,,,,302391000,"2015, 2016, 2017, 2018, "
Tiffany Terrace,Compliant,Multifamily Housing,2165 Dorchester Avenue,02124,27300,3.6,100,,Multifamily Housing,1964,7.5,0.3,97543.9,1.000042146,,,59.66,,,,1704098000,"2017, 2018, "
,Compliant,,217-231 FRIEND ST,,,,,,,,,,,,,,,,Due to technical difficulties outside of the reporters control the building wasn't able to supply its data in time for disclosure. The City has marked it as compliant as it will be supplying it's data in the near future.,,301593000,
OTIS,Municipal ,K-12 School,218 Marion St.,02128,35100,57.2,95,,K-12 School,1905,114.7,3.3,2008352.7,0.170654763,0.829352379,,Not Available,,,,106426000,"2016, 2017, 2018, "
South St Apartments,Compliant,Multifamily Housing,218-230 South St ,02130,83475,Not Available,,,Multifamily Housing,1940,Not Available,Not Available,Not Available,,,,Not Available,,,,1103286000,"2017, 2018, "
Geneva Avenue Elderly Housing: 22 Beechwood Street,Compliant,Multifamily Housing,22 Beechwood Street,02121,42420,53.4,74,,Multifamily Housing,1980,144.5,3.4,2264869.4,0.4531843,0.546834534,,33.19,,All building info is updated and accurate as received from Property Manager. Need to add upgrade details,,1400035000,"2017, 2018, "
22 Boston Wharf Road,Compliant,Parking,22 Boston Whard Road,02210,57532,77.3,,,"Office, Parking",2000,311.9,5.4,4445397.7,0.723763634,0.276266339,,0.79,,"under construction 

gas meter capped",,602648010,"2015, 2017, 2018, "
22 Elkins,Compliant,Office,22 Elkins Street,02127,26215,110.9,68,,Office,1900,166.7,6.4,2908323.1,0.178021735,0.821985678,,2.43,,,,603405060,"2014, 2015, 2016, 2017, 2018, "
Mandela Homes (Hammond St),Compliant,Multifamily Housing,22 Hammond Street,02120,81920,91.9,52,,Multifamily Housing,1900,451.9,5.5,7531426.1,0.292107742,0.707904356,,54.45,,,,901850000,"2015, 2016, 2018, "
Twenty Two Liberty,Compliant,Multifamily Housing,22 Liberty Drive,02210,222191,69.4,41,,Multifamily Housing,2015,921.2,4.1,15423041.8,0.28073874,0.719272884,,26.85,,,,602671019,"2017, 2018, "
CONDON,Municipal ,K-12 School,220 D St.,02127,140426,80.4,42,,"K-12 School, Swimming Pool",1975,710.7,5.1,11284869.1,0.41858453,0.581432796,,Not Available,,,,600312000,"2016, 2017, 2018, "
The Midtown Hotel,Compliant,Hotel,220 Huntington Avenue,02115,98468,78.2,90,,"Hotel, Parking, Swimming Pool",1961,537.3,5.5,7704581.4,0.304889227,0.247466816,,61.75,,,,402304000,"2014, 2015, 2016, 2017, 2018, "
Goldenson,Compliant,Laboratory,220 Longwood,02115,133445,193,,,Laboratory,1905,1663.9,12.5,25748451.9,0.253079476,0.001180654,0.427237717,34.56,,"The Medical Area Total Energy Plant (MATEP) located at 474 Brookline Ave., Boston supplies the majority of utilities (Steam, Chilled Water and Electricity) for the Harvard Medical School Campus. The Campus receives one utility invoice from MATEP. Buildings are individually sub metered. Gas Meter is labeled for 230 Longwood Ave. ",,401882000,"2014, 2015, 2016, 2017, 2018, "
Bec Site Office,Compliant,Other,2201 Washington St,02119,14116,Not Available,,,Other,2000,Not Available,Not Available,Not Available,,,,Not Available,,,,902478000,"2014, 2015, 2016, 2017, 2018, "
Albert A. Pope Condominium Trust,Compliant,Multifamily Housing,221 Columbus Ave,02116,25000,373.5,1,,Multifamily Housing,1891,575.4,23,9337191.3,0.361352136,0.638662833,,116.05,,,,401147000,"2016, 2017, 2018, "
PHS-BWH-Boston Lying In,Compliant,Outpatient Rehabilitation/Physical Therapy,221 Longwood Avenue,02215,247418,319.9,,,Outpatient Rehabilitation/Physical Therapy,1930,6329.324364,25.58150322,79154817.1,0.409886035,,0.59013093,21.41,,,,401845000,"2014, 2015, 2016, 2017, 2018, "
Church Park Apartments,Compliant,Multifamily Housing,221 Massachusetts Avenue,02115,650000,58.3,60,,Multifamily Housing,1973,2378.2,3.7,37912503.7,0.408177969,0.591838922,,20.83,,,,401425000,"2015, 2016, 2017, 2018, "
Saint John Paul II Catholic Academy,Compliant,K-12 School,2214-2224 Dorchester Ave,02124,61000,14.8,95,,K-12 School,2015,69,1.1,899949.2,1.000041421,,,3.7,,,,1703589000,"2017, 2018, "
Two Twenty Two Berkeley,Compliant,Office,222 Berkeley Street,02116,551775,49.1,86,"2017, 2016, 2015, 2014, 2012, 2011, 2009, 2008, 2005, 2002, 1999","Office, Parking",1991,2075.9,3.8,27075754.6,1.000041389,,,8.15,,LEED 2009 EBOM project 1000000231,,401096000,"2014, 2015, 2016, 2017, 2018, "
Pama Gardens,Compliant,Multifamily Housing,222 Foster St,02135,35000,Not Available,,,Multifamily Housing,1950,0,0,Not Available,,,,Not Available,,,,2205024000,"2018, "
"Deutsches Altenheim, Inc.",Compliant,Senior Care Community,2222 Centre St.,02132,155000,161.7,28,,Senior Care Community,1991,1466.3,9.5,25071109.8,0.228005325,0.772004114,,7.61,,"2014 reporting - includes EV building,
2015 reporting - includes EV building",,2003228000,"2017, 2018, "
22-24 Buswell Street,Compliant,Multifamily Housing,22-24 Buswell Street,02215,35036,60.5,90,,Multifamily Housing,1914,118.2,3.4,2118094.9,0.12379317,0.876211974,,46.75,,,,2100199000 2100200000                    ,"2014, 2015, 2016, 2017, 2018, "
22-26 West Broadway,Compliant,Multifamily Housing,22-26 West Broadway,02127,45275,106.3,1,,"Multifamily Housing, Other - Restaurant/Bar, Parking",2015,294.1,6.5,4814831.8,0.338287854,0.661726113,,3.54,,,,0600026000 0600027000 0600028000 0600045000 0600046000,"2017, 2018, "
Theroch,Compliant,Multifamily Housing,223 Columbia Road,02121,79102,59.1,77,,Multifamily Housing,1940,273.3,3.5,4673181.6,0.22784488,0.772164579,,43.8,,,,1400064000; 1401065000,"2015, 2016, 2017, 2018, "
223-225 Columbia Rd,Compliant,Multifamily Housing,223-225 Columbia Road,02121,12702,67.4,,,Multifamily Housing,1940,48.2,3.8,855750.2,0.136340097,0.863665589,,27.53,,,,1400064000,"2015, 2016, 2017, 2018, "
225 Centre LLC,Compliant,Multifamily Housing,225 Centre St,02119,105949,56.9,96,,"Multifamily Housing, Parking, Retail Store",2013,354.3,3.3,6030938.7,0.23911537,0.760894492,,46.6,,"Tax assessor database incorrectly provides GFA as 46,516 sq ft - the correct GFA is provided for the property as 105,949 sq ft",,1100896020,"2015, 2016, 2017, 2018, "
The Residences at St Augustines,Compliant,Multifamily Housing,225 Dorchester Street,02127,53793,5.7,,,"Multifamily Housing, Parking",2016,20,0.4,308568.4,0.493888969,0.506131386,,13.18,,,,700775000,"2018, "
225 Franklin Street,Compliant,Office,225 Franklin Street,02110,1045851,77.8,83,"2017, 2016, 2015, 2014, 2012, 2011","Office, Parking",1966,5878.1,5.6,81347166,0.57059139,,0.429432224,12.52,,"The building is currently seeking LEED EBOM Certification:
Project Name = 225 Franklin Street
Project ID = 1000063072



Meters ""Board A"" and ""Board B"" are sub-meters. The electric grid meters ""Board C"", ""Board D"", ""Site 225 Franklin Electric Power"", and the District Steam meters ""Cooling 24049"" and ""Heating 24041"" account for whole-building energy consumption.
 
March 31, 2016",,304134000,"2014, 2015, 2016, 2017, 2018, "
Courtyard Marriott Logan Airport,Compliant,Hotel,225 McCllean Highway,02128,180000,Not Available,,,"Hotel, Swimming Pool",1972,Not Available,Not Available,Not Available,,,,Not Available,,,,100549001,"2017, 2018, "
Abnote USA Inc.,Compliant,Manufacturing/Industrial Plant,225 Rivermoor Street,02132,127,Not Available,,,Manufacturing/Industrial Plant,1967,Not Available,Not Available,Not Available,,,,Not Available,,,,2009228010,"2014, 2018, "
BROOKLINE ICE,Compliant,Other - Utility,225 SOUTHHAMPTON ST,02118,2000,7861.4,,,Other - Utility,1950,1166.9,583.5,15722789,0.89591433,0.10412275,,5138.05,,,,801021050,"2015, 2016, 2018, "
Lewis Mall Apartments,Compliant,Residential Care Facility,225 Sumner Street,02128,37620,77.9,,,"Parking, Residential Care Facility",1996,183.8,4.9,2928790.8,0.441724955,0.558293291,,39.76,,,,105398005,"2017, 2018, "
Castle Cove Co-op: 225 West 2nd Street,Compliant,Multifamily Housing,225 West 2nd Street,02127,95760,38.7,97,,Multifamily Housing,1997,222.6,2.3,3707658.7,0.294365996,0.705646177,,19.2,,,,5892086,"2015, 2017, 2018, "
226 Causeway Primary Condo Trust,Compliant,Mixed Use Property,226 Causeway St,02114,366637,63.8,75,,"Multifamily Housing, Office, Parking",1907,1643.9,4.5,23380140.8,0.730134163,0.269896052,,18.76,,,,303061020,"2015, 2016, 2017, 2018, "
Trinity Mattapan Heights 5,Compliant,Multifamily Housing,229A River St,02126,74698,56,70,,Multifamily Housing,2012,258.8,3.5,4181359.7,0.373054214,0.626961196,,Not Available,,Property is on a land lease through Boston Public Health so the water is sub-metered.  Customer does not have Boston Water and sewer invoices.  They manage their usage by manually reading the meter monthly via pictures.  ,,1800113800,"2018, "
Lower Mills Branch,Municipal ,Library,23 Richmond St,02124,9940,115.7,,,Library,2000,69.1,7,1149625.6,0.296938159,0.703074102,,Not Available,,,,1704075000,"2016, 2017, 2018, "
Mission Main II - 23 Turquoise Way,Compliant,Multifamily Housing,23 Turquoise Way,02120,54950,46.8,96,,"Multifamily Housing, Parking",2000,152.1,2.8,2570798.3,0.256180227,0.74383042,,39.36,,"This parcel consists of 2 buildings that share natural gas and water meters.
32 McGreevey Way: 31400 sf, 8 units
23 Turquoise Way: 23550 sf, 14 units",,1000001040,"2017, 2018, "
NW 230 Congress Street Property Owner LLC,Compliant,Office,230 Congress Street ,02110,151706,49.1,99,,Office,1931,508.1,3.3,7451930.4,0.174056381,,0.825950803,20.31,,,,304190000,"2014, 2015, 2016, 2017, 2018, "
South Cove Plaza West - 230 STUART ST: 26090791000,Compliant,Multifamily Housing,230 Stuart Street,02116,135160,26.4,91,,Multifamily Housing,1975,274,2,3573268.1,1.000041342,,,56.76,,,,500800000,"2015, 2016, 2017, 2018, "
School of the Museum of Fine Arts,Compliant,Other - Education,230 The Fenway,02115,110000,42.2,,,Other - Education,1987,347.4,3.2,4642281.2,0.922415069,0.077623093,,7.9,,,,401806000,"2014, 2016, 2017, 2018, "
Teele Hall,Compliant,Office,230 Western Ave,02134,52688,60.3,80,,Office,1984,230.7,4.4,3178875.2,0.802592873,0.174558945,,12.05,,A 25 kW solar PV system was installed March 2017,,2201058010,"2014, 2015, 2016, 2017, 2018, "
Bruce C. Bolling Municipal Building,Compliant,Office,2300 Washington St,02119,184032,Not Available,,,Office,2015,Not Available,Not Available,Not Available,,,,Not Available,,,,903139000,"2018, "
Geneva Apartments LLC,Compliant,Multifamily Housing,231 - 1 Geneva Ave,02125,52350,74.4,95,,Multifamily Housing,2000,212.5,4.1,3893438.4,0.062689487,0.937313081,,70.65,,,,1401380000,"2016, 2017, 2018, "
Park Associates,Compliant,Multifamily Housing,231 Park Drive,02215,58002,95.1,71,,Multifamily Housing,1920,307.9,5.3,5513898.5,0.115781035,0.884223783,,57.37,,,,2100029000,"2015, 2016, 2017, 2018, "
Central Boston Elder: 2311 Washington st,Compliant,Multifamily Housing,2311 Washington st,02119,49588,67.8,46,,Multifamily Housing,2012,213,4.3,3360094.3,0.436419454,0.563598583,,27.17,,,,903130010,"2015, 2016, 2017, 2018, "
Tai Tung Village,Compliant,Multifamily Housing,232 Harrison Avenue,02111,596474,44.3,94,,"Multifamily Housing, Parking",1973,1471.1,2.5,26404930.7,0.110338121,0.889666449,,30.67,,,,305021000,"2015, 2016, 2017, 2018, "
"Lanark Road, LLC",Compliant,Multifamily Housing,23-27 Lanark Road,02135,34650,97.1,58,,Multifamily Housing,1920,179.7,5.2,3363353.1,0.013211403,0.986789108,,23.02,,,,2102098000,"2018, "
23-29 Mt Pleasant Ave,Compliant,Multifamily Housing,23-29 Mount Pleasant Avenue,02119,15716,78,,,Multifamily Housing,1900,67.5,4.3,1225128.4,0.083540247,0.916463097,,49.87,,,,802573000,"2015, 2016, 2017, 2018, "
233 Bay State Road,Voluntary,College/University,233 Bay State Road,02215,19300,72.7,,,College/University,1968,93.2,4.8,1402960,0.611298589,0.388726763,,6.11,,LEED Project Number 1000023830,,2100356000 2100355000,"2015, 2016, 2018, "
Kasanof Homes,Compliant,Multifamily Housing,233 Blue Hill Ave,02119,72608,61.4,27,,"Multifamily Housing, Parking",2010,290.7,4,4455084,0.515575909,0.484445408,,36.92,,,,1200921000,"2017, 2018, "
0733-Brighton - N. Beacon St.,Compliant,Self-Storage Facility,235 N. Beacon Street,02135,27441,5,,,Self-Storage Facility,2009,10.4,0.4,138223.5,1.000041742,,,0.33,,,,2202708000,"2017, 2018, "
MOZART,Municipal ,K-12 School,236 Beech St.,02131,16248,61,95,,K-12 School,1932,57.1,3.5,991613.8,0.190495055,0.809512741,,Not Available,,,,2000931000,"2016, 2017, 2018, "
Walnut Housing LLC,Compliant,Senior Care Community,237-241 Walnut Avenue,02119,18000,Not Available,,,Senior Care Community,2001,0,0,Not Available,,,,Not Available,,,,1101913000,"2018, "
Huntington Hill East,Compliant,Multifamily Housing,238 South Huntington Ave,02130,44320,21,100,,Multifamily Housing,1920,58,1.3,929999.5,0.392058953,0.607957319,,25.34,,,,1001783000,"2018, "
Van Ness Terrace,Compliant,Multifamily Housing,238 Warren Street,02119,66383,49.9,90,,Multifamily Housing,1925,193.1,2.9,3309509.8,0.221531312,0.778477867,,35.63,,This property consists of 6 connected buildings. Service addresses 238 through 248 Warren Street. ,,1200280000,"2015, 2016, 2017, 2018, "
239 Causeway Street,Compliant,Office,239 Causeway Street,02114,63750,Not Available,,,Office,1917,Not Available,Not Available,Not Available,,,,20.65,,There was an average of 50% vacancy in 2014.,,1517000,"2015, 2016, 2017, 2018, "
Saint John Paul II Catholic Academy,Compliant,K-12 School,239 Neponset Ave,02122,60000,36,81,,K-12 School,2008,132.2,2.2,2157429.2,0.347061382,0.652953055,,7.5,,,,1602169000,"2017, 2018, "
Engine 09,Municipal ,Fire Station,239 Sumner St,02128,18836,148.1,,,Fire Station,2000,165.6,8.8,2790470.3,0.264954242,0.735056678,,Not Available,,,,105382000,"2016, 2017, 2018, "
Peterborough Gardens Condo,Compliant,Multifamily Housing,24 and 30 Peterborough Street,02215,24432,113.1,64,,Multifamily Housing,1987,151.3,6.2,2764016.6,0.068785597,0.93121725,,43.1,,,,504236000,"2017, 2018, "
44 Prince Street Condominium Trust,Compliant,Multifamily Housing,24 Farnsworth Street,02210,76038,69.7,1,,Multifamily Housing,2006,354.1,4.7,5300298.6,0.581527764,0.418496288,,24.7,,,,302347000,"2015, 2016, 2017, 2018, "
