BUILDING ADDRESS,BUILDING ID,CARBON DIOXIDE EMISSIONS (Metric Ton CO2e),COMPLIANCE STATUS,% DIFFERENCE FROM NATIONAL MEDIAN SOURCE EUI,% DIFFERENCE FROM NATIONAL MEDIAN SITE EUI,ENERGY STAR SCORE,ENERGY STAR CERTIFICATION - ELIGIBILITY,ENERGY STAR CERTIFICATION - LAST APPROVAL DATE,ENERGY STAR CERTIFICATION - YEAR(S) CERTIFIED,ENTITY RESPONSIBLE FOR BENCHMARK,GROSS BUILDING FLOOR AREA (ft²),INDOOR WATER USE (kgal),INDOOR WATER USE INTENSITY (gal/ft²),NUMBER OF BUILDINGS,OCCUPANCY,OUTDOOR WATER USE (kgal),POSTAL CODE,PROGRAM YEAR,PROPERTY TYPE,SITE ENERGY USE INTENSITY (EUI) (kBtu/ft²),Source EUI (kBtu/ft²),TOTAL WATER USE (kgal),WEATHER NORMALIZED SITE ENERGY USE INTENSITY (EUI) (kBtu/ft²),WEATHER NORMALIZED SOURCE ENERGY USE INTENSITY (EUI) (kBtu/ft²),YEAR BUILT
10866 WILSHIRE BLVD,4.28E+11,636.9,COMPLIED,-53.5,-53.5,97,No,08/03/2017,"2017, 2010, 2002",650186,210487,1843.3,8.76,1,90,Not Available,90024,2017,Office,41.7,118.4,1843.3,41.8,117,1986
3401 S CENTRAL AVE,4.84E+11,42.1,COMPLIED,-15.5,-15.5,Not Available,No,Not Available,Not Available,ece_cola_gsd,11188,Not Available,Not Available,1,100,Not Available,90011,2017,Fire Station,56.2,130.5,269,Not Available,Not Available,1950
5600 WILSHIRE BLVD,4.55E+11,803.9,COMPLIED,-23.8,-23.8,89,No,Not Available,Not Available,AUM,310796,Not Available,Not Available,1,95,Not Available,90036,2017,Multifamily Housing,40.2,83.6,12039.1,40.2,83.6,2008
18757 BURBANK BLVD,3.98E+11,341.9,COMPLIED,47.8,47.8,Not Available,No,Not Available,Not Available,Dolphin Parnters,72106,2.2,0.03,1,95,Not Available,91356,2017,Other,66.3,182,2.2,65.1,175.4,1986
10811 S MAIN ST,4.79E+11,110.4,COMPLIED,59.7,59.7,Not Available,No,Not Available,Not Available,ece_cola_gsd,15203,Not Available,Not Available,1,100,Not Available,90061,2017,Fire Station,109.9,246.5,469.5,108.5,242,2009
4718 W WASHINGTON BLVD,4.58E+11,Not Available,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,ece_cola_gsd,45840,0,0,1,80,Not Available,90016,2017,Performing Arts,Not Available,Not Available,0,Not Available,Not Available,2000
12476 W JEFFERSON BLVD,4.35E+11,241.9,COMPLIED,-41.8,-41.8,97,No,Not Available,Not Available,Invesco Real Estate US,43395,Not Available,Not Available,1,100,Not Available,90094,2017,Supermarket/Grocery Store,74.1,228.4,2266,74.1,228.4,2015
11121 N SEPULVEDA BLVD,4.20E+11,51.4,COMPLIED,-81.2,-81.2,Not Available,No,Not Available,Not Available,ece_cola_gsd,63521,Not Available,Not Available,1,100,Not Available,91345,2017,Police Station,11.8,29,139,11.8,28.4,1990
3420 S SEPULVEDA BLVD,4.33E+11,208.6,COMPLIED,-0.8,-0.8,51,No,Not Available,Not Available,AUM,76900,Not Available,Not Available,1,95,Not Available,90034,2017,Multifamily Housing,42.8,85.4,2661.6,44,86.7,1987
6100 SEPULVEDA BLVD,4.21E+11,1703.3,COMPLIED,80,80,10,No,Not Available,Not Available,Costco Wholesale,151147,4040.7,26.73,1,100,Not Available,90230,2017,Wholesale Club/Supercenter,157.7,431.7,4040.7,154.7,422.2,1989
15151 BLEDSOE ST,4.22E+11,91,COMPLIED,-23.1,-23.1,Not Available,No,Not Available,Not Available,Merle Norman Cosmetics,57615,67.3,1.17,4,100,514.7,91342,2017,Museum,20.8,65.4,582,20.2,63.3,2000
4553 GLENCOE AVE,4.31E+11,318,COMPLIED,-37.7,-37.7,85,No,12/14/2017,"2017, 2016, 2015, 2014, 2013, 2011, 2009",ABM Engineering Services,74827,Not Available,Not Available,1,90,Not Available,90292,2017,Office,56,176,343,56,176,1984
415 S DETROIT ST,4.57E+11,137.3,COMPLIED,-16.7,-16.7,82,No,Not Available,Not Available,AUM,55568,Not Available,Not Available,1,95,Not Available,90036,2017,Multifamily Housing,37.7,82.8,1907.5,38.4,83.5,1987
6801 SANTA MONICA BLVD,4.59E+11,41.3,COMPLIED,-74.8,-74.8,Not Available,No,Not Available,Not Available,Public Storage,141060,296,2.1,1,100,Not Available,90038,2017,Self-Storage Facility,3.9,12,296,3.9,12,2000
6200 W 3RD ST GARAGE 3,4.54E+11,186.3,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,AUM,32490,Not Available,Not Available,1,100,Not Available,90036,2017,Parking,106.2,119.8,3,114.1,128.1,1951
1353 N MARTEL AVE,4.55E+11,205.1,COMPLIED,1.3,1.3,47,No,Not Available,Not Available,The Joshua Apartments,74133,Not Available,Not Available,1,95,Not Available,90046,2017,Multifamily Housing,42.5,91.5,3990.9,43.9,93,1988
6200 VISTA DEL MAR,4.25E+11,104.7,COMPLIED,-57.9,-57.9,100,No,Not Available,Not Available,"Vert Energy Group, Inc.",129177,Not Available,Not Available,1,100,Not Available,90293,2017,Multifamily Housing,13.6,22.5,4829.4,14.2,23.2,1964
401 WORLD WAY PS 4,4.38E+11,148.5,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,Los Angeles World Airports,456628,Not Available,Not Available,1,50,Not Available,90045,2017,Parking,4.3,13.5,Not Available,Not Available,Not Available,1969
3700 S SEPULVEDA BLVD,4.35E+11,205.1,COMPLIED,-55.2,-55.2,100,Yes,Not Available,Not Available,The Woodmere Apartments,167461,6609.8,39.47,1,100,Not Available,90034,2017,Multifamily Housing,20.6,33.7,6609.8,21.3,34.5,1978
3025 ROYAL ST,4.76E+11,553.9,COMPLIED,-43.4,-43.4,85,No,Not Available,Not Available,University of Southern California,285135,13501.2,47.35,1,100,Not Available,90007,2017,Residence Hall/Dormitory,30,63.5,13501.2,30.1,62.6,1976
10390 WILSHIRE BLVD,4.32E+11,1109.8,COMPLIED,17.6,17.6,25,No,Not Available,Not Available,"Vert Energy Group, Inc.",404876,Not Available,Not Available,1,100,Not Available,90024,2017,Multifamily Housing,41.8,91.8,4622.2,41.8,91.8,1977
12925 BRADLEY AVE,4.23E+11,149.2,COMPLIED,35.6,35.6,Not Available,No,Not Available,Not Available,Reyes Coca-Cola Bottling Co,80000,Not Available,Not Available,2,100,Not Available,91342,2017,Distribution Center,25.9,81.3,643.9,25.9,81.3,1978
1717 S WESTERN AVE,4.68E+11,Not Available,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,Western Avenue Capital,103000,Not Available,Not Available,5,95,Not Available,90006,2017,Supermarket/Grocery Store,Not Available,Not Available,Not Available,Not Available,Not Available,1993
12300 SHERMAN WAY,4.40E+11,475,COMPLIED,-11.8,-11.8,68,No,Not Available,Not Available,MG Properties,141100,Not Available,Not Available,5,100,Not Available,91605,2017,Multifamily Housing,55,98.7,7211,59,103,1975
3630 W WATT WAY,1.12E+11,594.2,COMPLIED,15.6,15.6,Not Available,No,Not Available,Not Available,University of Southern California,92945,569.3,6.13,1,100,Not Available,90089,2017,College/University,101.2,208.8,569.3,101.6,206.7,2012
717 SAN JULIAN ST,4.86E+11,112.7,COMPLIED,-78.5,-78.5,100,No,Not Available,Not Available,"Vert Energy Group, Inc.",153252,Not Available,Not Available,1,100,Not Available,90014,2017,Retail Store,10.4,29.2,684.5,10,28,1962
2070 CENTURY PARK EAST,4.37E+11,2297.5,NOT COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,Realtech,211109,4123.2,19.53,1,95,Not Available,90067,2017,Medical Office,174.1,293.2,4123.2,Not Available,Not Available,1969
20221 PRAIRIE ST,3.88E+11,14.1,COMPLIED,-83,-83,100,No,Not Available,Not Available,Extra Space Storage,104448,691,6.62,1,100,Not Available,91311,2017,Non-Refrigerated Warehouse,1.8,5.5,691,1.8,5.5,2009
1515 N VERMONT AVE,4.73E+11,1254,COMPLIED,39,39,15,No,Not Available,Not Available,Kaiser Foundation Hospitals,138419,4056,29.3,1,100,Not Available,90027,2017,Medical Office,125.9,350.3,4056,124.4,343.5,1961
1880 CENTURY PARK EAST,4.36E+11,1792.3,COMPLIED,-41.7,-41.7,90,No,11/30/2016,"2016, 2015, 2014, 2012, 2011, 2009",Held Properties Inc.,339881,Not Available,Not Available,1,95,Not Available,90067,2017,Office,85.1,158,1748.2,84.1,157.1,1970
8511 BALBOA BLVD,4.10E+11,212.3,COMPLIED,-10.1,-10.1,66,No,Not Available,Not Available,Northridge Pointe Apartments,64220,Not Available,Not Available,1,95,Not Available,91325,2017,Multifamily Housing,52.9,101,3534.4,52.9,101,1963
21501 W SCHOENBORN ST,3.80E+11,291.6,COMPLIED,26.7,26.7,Not Available,No,Not Available,Not Available,ece_cola_gsd,53800,Not Available,Not Available,1,100,Not Available,91304,2017,Police Station,79,195.6,1051,79,195.6,1990
624 S GRAND AVE,4.84E+11,7074.3,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,Hines,661553,30803.2,46.56,1,90,Not Available,90017,2017,Data Center,141,442.8,30803.2,141,442.8,1965
2175 W JOHN S GIBSON BLVD,4.74E+11,330.5,COMPLIED,20.9,20.9,Not Available,No,Not Available,Not Available,ece_cola_gsd,66613,Not Available,Not Available,1,100,Not Available,90731,2017,Police Station,70.3,186.6,862.4,69.6,183.5,1990
21200 VICTORY BLVD,3.82E+11,60.2,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,CATALINA YACHTS,183792,Not Available,Not Available,1,25,Not Available,91367,2017,Manufacturing/Industrial Plant,4.7,13,1698.1,4.7,13,1962
240 E 6TH ST,4.87E+11,224.8,COMPLIED,1.2,1.2,48,No,Not Available,Not Available,Skid Row Housing Trust,69111,Not Available,Not Available,1,100,Not Available,90014,2017,Multifamily Housing,48,114.9,2495.5,Not Available,Not Available,2013
5416 FAIR AVE,4.49E+11,1191,COMPLIED,-0.2,-0.2,50,No,Not Available,Not Available,"Conservice, LLC",286625,Not Available,Not Available,1,95,Not Available,91601,2017,Multifamily Housing,66.7,126.3,21572.3,66.7,126.3,2007
6430 W SUNSET BLVD,4.62E+11,1574.8,COMPLIED,-30.3,-30.3,82,No,08/28/2017,"2017, 2015, 2014, 2013",CodeGreen Solutions Inc.,216163,Not Available,Not Available,1,90,Not Available,90028,2017,Office,99,290.3,2963.4,98.5,287,1968
5600 W SUNSET BLVD,T00000000378,548.5,COMPLIED,-37.5,-37.5,81,No,Not Available,Not Available,Home Depot,124869,2028.2,16.24,1,100,Not Available,90028,2017,Retail Store,58.6,179.5,2028.2,Not Available,Not Available,1996
737 S KINGSLEY DR,4.70E+11,147.5,COMPLIED,-26.3,-26.3,93,No,Not Available,Not Available,Decron Property,62950,Not Available,Not Available,1,95,Not Available,90005,2017,Multifamily Housing,33.7,86.4,3170.2,33.7,86.4,1988
18832 RAYEN ST,3.97E+11,7.3,COMPLIED,-88.2,-88.2,Not Available,No,Not Available,Not Available,Golden State Storage,54000,Not Available,Not Available,7,95,Not Available,91324,2017,Self-Storage Facility,1.8,5.6,444.2,1.7,5.3,1979
14301 W VANOWEN AVE,4.27E+11,33.4,COMPLIED,77,77,Not Available,No,Not Available,Not Available,"City of Los Angeles, Recreation and Parks",8000,Not Available,Not Available,1,100,Not Available,91405,2017,Other - Recreation,55.3,171.3,6178.2,55.3,171.3,1973
401 S HAUSER BLVD,4.56E+11,374.5,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,AUM,65933,Not Available,Not Available,1,100,Not Available,90036,2017,Parking,105.6,117.6,8.2,113.5,125.9,1951
19059 W VENTURA BLVD,3.96E+11,39,COMPLIED,4.8,4.8,Not Available,No,Not Available,Not Available,ece_cola_gsd,8323,Not Available,Not Available,1,100,Not Available,91356,2017,Fire Station,70.1,161.8,438.8,69.2,154.7,1960
1521 CALADA ST,5.02E+11,2647.1,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,ADM Milling,100000,3282,32.82,1,0,Not Available,90023,2017,Manufacturing/Industrial Plant,349,1096,3282,349,1096,1933
9601 S COAST GUARD WAY,4.34E+11,Not Available,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,Los Angeles World Airports,7980,Not Available,Not Available,1,50,Not Available,90045,2017,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",Not Available,Not Available,100.7,Not Available,Not Available,1996
1050 S FLOWER ST,4.82E+11,645.9,COMPLIED,16.4,16.4,24,No,Not Available,Not Available,"Conservice, LLC",240708,Not Available,Not Available,1,100,Not Available,90015,2017,Multifamily Housing,36.3,107.4,17.2,36.3,107.4,2006
19040 W VANOWEN ST,3.96E+11,418.5,COMPLIED,74.5,74.5,Not Available,No,Not Available,Not Available,ece_cola_gsd,55206,Not Available,Not Available,1,100,Not Available,91335,2017,Police Station,111.6,269.3,1530.3,111.1,263.7,1990
15301 VALLEY VISTA BLVD,4.20E+11,94.8,COMPLIED,-48.7,-48.7,Not Available,No,Not Available,Not Available,Francis Property Management,59749,Not Available,Not Available,0,95,Not Available,91403,2017,Multifamily Housing,20.9,65.7,1748.2,20.9,65.7,1986
17171 ROSCOE BLVD,4.08E+11,651.6,COMPLIED,-8.7,-8.7,65,No,Not Available,Not Available,AUM,200984,Not Available,Not Available,8,95,Not Available,91325,2017,Multifamily Housing,50.6,104.2,11170.5,52,105.7,1975
625 N HILL ST,4.88E+11,462.3,COMPLIED,18.9,18.9,22,No,Not Available,Not Available,"RealPage Utility Management, Inc.",163698,Not Available,Not Available,1,95,Not Available,90012,2017,Multifamily Housing,40.3,105.4,9424.1,41.7,108.9,2003
414 E 9TH ST,4.85E+11,0,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,"ARD SERVICES, INC.",52000,Not Available,Not Available,1,100,Not Available,90015,2017,Distribution Center,Not Available,Not Available,Not Available,Not Available,Not Available,1930
7240 N HAYVENHURST PL,4.13E+11,283,COMPLIED,135.3,135.3,Not Available,No,Not Available,Not Available,Los Angeles World Airports,57492,Not Available,Not Available,1,50,Not Available,91406,2017,Transportation Terminal/Station,65.8,200.3,1648,Not Available,Not Available,1993
9045 LINCOLN BLVD,4.35E+11,215.1,COMPLIED,-78.1,-78.1,Not Available,No,Not Available,Not Available,GBWorks,113140,Not Available,Not Available,6,100,Not Available,90045,2017,College/University,35.3,39.6,671.4,35.3,39.6,1968
5424 NEWCASTLE AVE,4.03E+11,182.6,COMPLIED,-9.6,-9.6,65,No,Not Available,Not Available,"Vert Energy Group, Inc.",64189,Not Available,Not Available,1,100,Not Available,91316,2017,Multifamily Housing,45.7,86.3,4355.2,47.3,88,1964
10943 N HERRICK AVE,4.37E+11,85.2,COMPLIED,241.2,241.2,Not Available,No,Not Available,Not Available,"City of Los Angeles, Recreation and Parks",10100,Not Available,Not Available,1,100,Not Available,91331,2017,Other - Recreation,116.2,330.4,622.4,120.1,334.5,2002
4455 E YORK BLVD,4.96E+11,24.4,COMPLIED,-66.2,-66.2,Not Available,No,Not Available,Not Available,ece_cola_gsd,17640,Not Available,Not Available,1,100,Not Available,90041,2017,Fire Station,19.6,52.1,172.9,19.7,51.8,2010
510 N ROSSMORE AVE,4.63E+11,112.8,COMPLIED,-45.2,-45.2,100,No,Not Available,Not Available,Francis Property Management,70546,Not Available,Not Available,1,95,Not Available,90004,2017,Multifamily Housing,21.1,66.2,1888.1,21.1,66.2,1988
1888 CENTURY PARK EAST,4.36E+11,2892.6,COMPLIED,-37.5,-37.5,87,No,10/30/2017,"2017, 2016, 2015, 2014",CommonWealth Partners,516405,3560.4,6.89,1,90,Not Available,90067,2017,Office,92.2,161,3560.4,89.6,158.4,1969
5825 RESEDA BLVD,3.99E+11,324.5,COMPLIED,-5.4,-5.4,58,No,Not Available,Not Available,"GK Management Co., Inc.",115150,Not Available,Not Available,1,95,Not Available,91356,2017,Multifamily Housing,43.1,94,3042.3,44.5,95.5,1995
393 S BURNSIDE AVE,4.55E+11,210.9,COMPLIED,21.2,21.2,21,No,Not Available,Not Available,AUM,47828,Not Available,Not Available,1,95,Not Available,90036,2017,Multifamily Housing,78.6,104.1,10293.2,83.8,109.7,1951
7250 LAUREL CANYON BLVD,4.42E+11,143.2,COMPLIED,-41.3,-41.3,Not Available,No,Not Available,Not Available,S and J Brown LLC,85500,Not Available,Not Available,1,100,Not Available,91605,2017,Wholesale Club/Supercenter,22.7,67.1,417.4,22.5,64.9,1951
12731 W JEFFERSON BLVD,4.35E+11,706,NOT COMPLIED,-50.7,-50.7,93,No,Not Available,Not Available,Transwestern,195694,Not Available,Not Available,1,100,Not Available,90066,2017,Office,49.3,142.7,3350.7,50,143.5,1982
15330 RAYMER ST,4.20E+11,282.2,COMPLIED,-57.1,-57.1,Not Available,No,Not Available,Not Available,"Galpin Motors, Inc.",134000,Not Available,Not Available,1,100,Not Available,91406,2017,Automobile Dealership,36,55.8,2032.5,44.9,65.1,2004
9601 RESEDA BLVD,3.99E+11,157.7,COMPLIED,-48.1,-48.1,99,No,Not Available,Not Available,Moss & Company,74728,Not Available,Not Available,1,95,Not Available,91324,2017,Multifamily Housing,35.6,57.5,4266.9,37,59,1996
8851 N LAUREL CANYON BLVD,4.40E+11,27.4,COMPLIED,2.5,2.5,Not Available,No,Not Available,Not Available,"City of Los Angeles, Recreation and Parks",10985,Not Available,Not Available,1,100,Not Available,91352,2017,Other - Recreation,34,99.2,3155.3,34.1,99.4,1992
8000 WORLD WAY WEST,1.12E+11,1218.4,COMPLIED,34.9,34.9,Not Available,No,Not Available,Not Available,Los Angeles World Airports,301004,Not Available,Not Available,1,95,Not Available,90045,2017,Other,53.8,166.1,25230,Not Available,Not Available,1963
741 S DUNSMUIR AVE,4.56E+11,335.6,COMPLIED,-4.3,-4.3,56,No,Not Available,Not Available,"Vert Energy Group, Inc.",136488,Not Available,Not Available,3,100,Not Available,90036,2017,Multifamily Housing,37.8,81.2,7492.5,38.4,81.9,1930
12744 SAN FERNANDO RD,4.23E+11,1549.6,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,Intertex Property Advisors Inc,181025,Not Available,Not Available,3,100,Not Available,91342,2017,Manufacturing/Industrial Plant,137.5,260.2,4970.7,Not Available,Not Available,1964
6200 COLGATE AVE,4.53E+11,267.2,COMPLIED,18.5,18.5,24,No,Not Available,Not Available,AUM,59889,Not Available,Not Available,1,95,Not Available,90036,2017,Multifamily Housing,79.3,106.3,4349.2,84.5,111.8,1951
919 S GRAND AVE,4.83E+11,627.1,COMPLIED,-21.5,-21.5,Not Available,No,Not Available,Not Available,FIDM Realty LLC,172408,Not Available,Not Available,1,100,Not Available,90015,2017,College/University,52.3,141.7,3060.3,52.7,142.1,1989
1015 W 34TH ST,4.74E+11,332.4,COMPLIED,-16.8,-16.8,65,No,Not Available,Not Available,University of Southern California,107481,5330.7,49.6,1,100,Not Available,90007,2017,Residence Hall/Dormitory,47.8,101.2,5330.7,49,102.4,1972
1504 W 228TH ST,4.69E+11,8.8,COMPLIED,-93.2,-93.2,Not Available,No,Not Available,Not Available,Rexford Industrial,89236,Not Available,Not Available,8,100,Not Available,90501,2017,Non-Refrigerated Warehouse,1.3,4.1,89.8,1.3,4.1,1963
5535 WESTLAWN AVE,4.36E+11,494.2,COMPLIED,-18.8,-18.8,79,No,Not Available,Not Available,"AvalonBay Communities, Inc",351647,Not Available,Not Available,1,95,Not Available,90066,2017,Multifamily Housing,19.4,54.8,11825.2,19.7,55.1,2006
4165 E CHEVY CHASE DR,4.81E+11,55.4,COMPLIED,113.5,113.5,Not Available,No,Not Available,Not Available,"City of Los Angeles, Recreation and Parks",10600,Not Available,Not Available,1,100,Not Available,90039,2017,Other - Recreation,71.4,206.7,2103.5,70.2,198.9,1980
239 S MANHATTAN PL,4.68E+11,134.7,COMPLIED,-21,-21,86,No,Not Available,Not Available,Unknown,53620,Not Available,Not Available,1,100,Not Available,90004,2017,Multifamily Housing,39.2,80.6,4115.8,39.9,81.4,1970
888 S OLIVE ST,4.84E+11,242.8,COMPLIED,-68.2,-68.2,100,No,Not Available,Not Available,"Vert Energy Group, Inc.",364997,Not Available,Not Available,1,100,Not Available,90014,2017,Multifamily Housing,8.9,27.1,1065.2,8.9,27.1,2015
433 E TEMPLE ST,4.90E+11,70.9,COMPLIED,-64.4,-64.4,98,No,Not Available,Not Available,Los Angeles Department of Water and Power,36200,Not Available,Not Available,1,100,Not Available,90012,2017,Office,28.6,70.2,82,28.7,69.5,1987
21650 OXNARD ST,3.80E+11,2024.2,COMPLIED,-52.1,-52.1,94,No,06/22/2017,"2017, 2010",650186,648561,Not Available,Not Available,1,80,Not Available,91367,2017,Office,42.4,124.6,8312.9,42.9,123.4,1990
23200 WESTERN AVE,4.68E+11,465.2,COMPLIED,85.2,85.2,1,No,Not Available,Not Available,"Vert Energy Group, Inc.",98296,Not Available,Not Available,1,100,Not Available,90710,2017,Multifamily Housing,75.1,147.3,6228,Not Available,Not Available,1979
7230 BELLAIRE AVE,4.38E+11,2.1,COMPLIED,-99.5,-99.5,Not Available,No,Not Available,Not Available,Ben Eisenberg Properties,140000,638,4.56,1,100,Not Available,91605,2017,Other,0.2,0.6,638,0.2,0.6,1975
400 S GRAMERCY PL,4.67E+11,14.8,COMPLIED,-92.4,-92.4,Not Available,No,Not Available,Not Available,BAG Investments and Abra Management Inc,63145,Not Available,Not Available,1,95,Not Available,90020,2017,Multifamily Housing,3.1,9.7,2926.2,3.1,9.7,1969
817 S WESTERN AVE,4.68E+11,10.5,COMPLIED,-93.3,-93.3,Not Available,No,Not Available,Not Available,A-ju Property Management Company,56068,Not Available,Not Available,3,100,5738.8,90005,2017,Retail Store,2.5,7.7,5738.8,2.5,7.7,1979
19901 HAMILTON AVE,4.74E+11,459.2,COMPLIED,33,33,28,No,Not Available,Not Available,IDS Real Estate Group,107020,Not Available,Not Available,1,100,Not Available,90502,2017,Distribution Center,56.6,177.7,1661.3,56.6,177.7,2001
16830 KINGSBURY ST,4.11E+11,495.5,COMPLIED,8.4,8.4,37,No,Not Available,Not Available,"Vert Energy Group, Inc.",195840,Not Available,Not Available,1,95,Not Available,91344,2017,Multifamily Housing,33.6,103.8,12408.4,Not Available,Not Available,1997
13400 RIVERSIDE DR,4.33E+11,358.5,COMPLIED,-13.6,-13.6,64,No,Not Available,Not Available,VDA Property,72000,785.2,10.91,1,85,Not Available,91423,2017,Office,68,197.3,785.2,66.8,191.6,1986
967 E 11TH ST,4.87E+11,9.9,COMPLIED,-90.3,-90.3,100,No,Not Available,Not Available,10TH ST PROPERTY LLC,71598,Not Available,Not Available,1,90,Not Available,90021,2017,Distribution Center,1.8,5.7,6.7,Not Available,Not Available,1984
6320 W 96TH ST,4.41E+11,Not Available,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,Los Angeles World Airports,17964,Not Available,Not Available,1,100,Not Available,90045,2017,Police Station,Not Available,Not Available,Not Available,Not Available,Not Available,1960
12806 SAN FERNANDO RD,4.22E+11,3181.1,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,PPG Aerospace,162000,3455.3,21.33,1,100,Not Available,91342,2017,Manufacturing/Industrial Plant,285.2,712.3,3455.3,280.5,697.6,1980
2920 S OVERLAND AVE,4.35E+11,98.7,COMPLIED,65.2,65.2,Not Available,No,Not Available,Not Available,LOS ANGELES PUBLIC LIBRARY,10500,Not Available,Not Available,1,100,Not Available,90064,2017,Library,124,389.3,189.4,Not Available,Not Available,2002
5150 YARMOUTH AVE,4.04E+11,12.4,COMPLIED,-92.3,-92.3,100,No,Not Available,Not Available,The Eberly Company,65269,Not Available,Not Available,1,100,Not Available,91316,2017,Multifamily Housing,2.7,7.6,2734.6,2.7,7.7,1964
12312 W CULVER BLVD,4.34E+11,331.2,COMPLIED,125.4,125.4,Not Available,No,Not Available,Not Available,ece_cola_gsd,32921,Not Available,Not Available,1,100,Not Available,90066,2017,Police Station,150.5,348,1324.4,150.5,348,1990
5601 DE SOTO AVE,3.83E+11,947.4,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,Kaiser Foundation Hospitals,718886,4809,6.69,1,100,Not Available,91367,2017,Parking,20.3,43.5,4809,20.6,43.6,2015
12881 BRADLEY AVE,4.23E+11,227.7,COMPLIED,72.3,72.3,Not Available,No,Not Available,Not Available,Vallarta Supermarkets,89693,Not Available,Not Available,2,30,Not Available,91342,2017,Office,33.9,103.3,752.6,Not Available,Not Available,1982
2040 AVENUE OF THE STARS,4.36E+11,3891.5,COMPLIED,-34.5,-34.5,83,No,12/20/2017,"2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008",CBRE,816615,20.3,0.02,1,100,Not Available,90067,2017,Office,65.3,187.9,1195.2,65.1,185.5,2006
433 N LAKE ST,4.78E+11,79.9,COMPLIED,-49.6,-49.6,100,No,Not Available,Not Available,PORTOBELLO MANAGEMENT LLC,83000,Not Available,Not Available,1,95,Not Available,90026,2017,Multifamily Housing,12.7,39.8,4493.5,12.7,39.8,1970
1141 W 2ND ST,4.84E+11,139.5,COMPLIED,68.7,68.7,9,No,Not Available,Not Available,Los Angeles Department of Water and Power,13440,Not Available,Not Available,1,100,Not Available,90026,2017,Office,136.8,429.7,74.6,134.7,422.8,1940
1131 E 11TH ST,4.87E+11,52.4,COMPLIED,-64.1,-64.1,Not Available,No,Not Available,Not Available,200977920,65000,956.3,14.71,1,90,Not Available,90021,2017,Mixed Use Property,11.4,32,956.3,11.4,32,1972
600 W 7TH ST,4.84E+11,22570.4,COMPLIED,12,12,22,No,Not Available,Not Available,Digital Realty,521935,21974,42.1,1,90,Not Available,90017,2017,Data Center,570.3,1785,21974,570.3,1785,1922
450 S LA FAYETTE PARK PL,4.76E+11,18,COMPLIED,-83.3,-83.3,100,No,Not Available,Not Available,Wilmington Harbor Properties LB,40632,2106.1,51.83,1,100,Not Available,90057,2017,Multifamily Housing,5.8,18.4,2106.1,5.8,18.4,1979
6161 W CENTURY BLVD,4.42E+11,465.8,COMPLIED,-27.3,-27.3,80,No,Not Available,Not Available,Verdafero Inc.,109072,Not Available,Not Available,1,100,Not Available,90045,2017,Hotel,62.4,153.5,5251.9,62.5,152.5,1991
2011 N SOTO ST,5.02E+11,353.1,COMPLIED,-38.2,-38.2,Not Available,No,Not Available,Not Available,University of Southern California,82884,2941.3,35.49,1,100,Not Available,90031,2017,College/University,59.8,162.3,2941.3,59.8,162.3,2011
1333 N LA BREA AVE,4.57E+11,92.2,COMPLIED,-33.3,-33.3,94,No,Not Available,Not Available,PORTOBELLO MANAGEMENT LLC,68488,Not Available,Not Available,1,95,Not Available,90028,2017,Multifamily Housing,17.7,55.7,2538.9,17.7,55.7,1991
8130 REMMET AVE,3.80E+11,836.1,COMPLIED,454,454,1,No,Not Available,Not Available,"JS/JS Properties, Inc.",92397,Not Available,Not Available,1,100,Not Available,91304,2017,Distribution Center,119.5,374,3833.8,117.7,368.4,1983
7417 WORLD WAY WEST,4.33E+11,Not Available,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,Los Angeles World Airports,12697,Not Available,Not Available,1,50,Not Available,90045,2017,Distribution Center,Not Available,Not Available,Not Available,Not Available,Not Available,1972
515 KELTON AVE,4.24E+11,Not Available,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,Kelton Associates. LP,110000,Not Available,Not Available,1,90,Not Available,90024,2017,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,Not Available,1973
