natural_gas_use_kbtu,portfolio_manager_id,postal_code,property_name,source_eui_kbtu_ft,total_ghg_emissions_mtco2e,district_steam_use_kbtu,site_eui_kbtu_ft,primary_property_type_epa_calculated,number_of_buildings,energy_star_score,location_1_address,year_built,fuel_oil_2_use_kbtu,property_floor_area_buildings_and_parking_ft,water_use_all_water_sources_kgal,electricity_use_kbtu,notes,philadelphia_building_id
"1,387,519.10",4102725,19116,2100 Byberry Road,44.9,261.5,Not Available,21.4,Non-Refrigerated Warehouse,1,88,2100 Byberry Road,1954,Not Available,130500,110.7,1402833.90,,884236000
"1,523,400.10",3410522,19103,Sofitel Philadelphia,215.4,2835.20,"9,946,247.20",93.2,Hotel,1,47,120 South 17th Street,2000,Not Available,290966,11276.00,15641331.30,,883703600
"1,639,121.20",3877081,19140,The Lenfest Center,119.9,291.2,Not Available,58.3,Other - Recreation,1,Not Available,3890 N. 10th St.,2007,Not Available,54280,79.5,1525246.20,,777253420
"145,606.30",3956315,19141,Salus University,207,619.1,Not Available,67.3,Office,1,69,1200 W. Godfrey Avenue,1976,Not Available,70000,,4566822.10,,776553600
"157,411.60",3569731,19132,1300 W. LEHIGH AVENUE,13.6,36,Not Available,6.1,Office,2,Not Available,1300 W. LEHIGH AVENUE,1964,Not Available,60000,335.2,206303.10,,882962800
"781,315.50",3956329,19124,ECI Building,8.8,41.5,Not Available,8.4,Distribution Center,1,100,4343 Whitaker Ave.,1950,Not Available,93000,97.2,,,884184500
"1,846.80",3635906,19107,Main Building,481.7,4019.70,"18,887,886.10",320.4,Hospital (General Medical & Surgical),1,Not Available,132 S. 10th Street,1906,Not Available,169807,20031.30,11005464.00,,771020000
"10,177,400.50",3881810,19118,Springside,126.9,1200.00,Not Available,76.8,K-12 School,1,79,500 West Willow Grove Ave.,1900,"151,449.50",197500,18.6,4841924.80,,775510500
"5,776,941.10",1973983,19128,Shop Rite of Roxborough,625,1509.50,Not Available,269.1,Supermarket/Grocery Store,1,86,6901 Ridge Avenue,1990,Not Available,54844,1008.10,8983792.60,,882117000
"5,990,626.90",3679279,19125,SugarHouse Casino,1390.40,6476.90,Not Available,479.6,Other,1,Not Available,1001 North Delaware Ave,2010,Not Available,108420,5686.00,46006691.50,,882028200
"7,492,860.40",3959806,19139,The Madison,133.4,439.7,Not Available,117.7,Multifamily Housing,1,34,216 S. 48th Street,1940,Not Available,66336,5005.00,311793.00,,881144025
"3,264,721.80",3891695,19123,913 Wallace Street,100.3,301,Not Available,65.9,Office,1,90,913 Wallace Street,1950,Not Available,64000,,953284.80,,884073505
Not Available,3512106,19115,GLC 17012/2210 LOTT ST/PHILADELPHIA/PA,536.5,1190.30,Not Available,170.9,Office,1,1,2210 LOTT ST,1905,Not Available,52043,1295.00,8891938.10,,778653010
"1,052,531.20",3790440,19145,LT02182 - 4020 S. 26th Street,202.6,469.8,Not Available,77.7,Distribution Center,1,79,4020 S. 26th Street,2011,Not Available,52315,181.6,3091517.70,,788003015
Not Available,3958808,19102,"Sunny Spring, LLC",274,645.3,Not Available,87.2,Retail Store,1,Not Available,1424 Chestnut St,1920,Not Available,93000,899.5,4820647.60,,883324400
"139,126.40",3505061,19125,Kensington HS CAPA,130.6,496.4,Not Available,42.6,K-12 School,1,27,1901 N Front St,1917,Not Available,88915,239.9,3652743.90,,777141500
"69,652.10",3727278,19107,Holiday Inn Express Midtown,151.1,709.3,"1,543.80",48.6,Hotel,1,49,1305 Walnut Street,1964,Not Available,110000,7227.60,5270281.00,,883700000
"3,760,310.40",3637455,19150,Everett Richardson,158.8,877.8,Not Available,70.6,Worship Facility,1,Not Available,2800 West Cheltenham Avenue,2006,Not Available,125000,590.7,5065499.60,,775107300
"268,401.60",3751822,19123,St. Peter the Apostle Parish,3.7,15.7,Not Available,3.3,Other,3,Not Available,1019 North 5th Street,1843,Not Available,85426,344.1,10555.00,,771211200
"775,814.20",3698115,19129,Legacy Youth Tennis and Education Center,75.5,254.4,Not Available,30.8,Other - Recreation,1,Not Available,4600 Ridge Avenue,2006,Not Available,77000,138.4,1592431.60,,784377500
Not Available,3498653,19124,Lankenau,123.8,435.3,Not Available,52.6,K-12 School,1,49,201 SPRING LANE,1971,"1,439,616.30",74000,332.4,2453580.10,,784408400
"6,492,307.40",1637817,19103,One Penn Center,164.1,4741.80,Not Available,58.7,Office,1,89,1617 John F. Kennedy Blvd,1929,Not Available,670000,12243.80,32846140.00,,883339500
"4,723,991.60",3751820,19143,Most Blessed Sacrement Parish,100.4,442,Not Available,65.4,K-12 School,6,17,5600 Chester Avenue,1905,Not Available,94000,2859.50,1427187.10,,773071000
"3,632,146.40",3912799,19154,Origlio Property Holding,14.5,195.7,Not Available,13.6,Non-Refrigerated Warehouse,1,100,3000 Meeting House Road,2001,Not Available,268000,774.7,20784.10,,884292800
81,3958443,19140,MEDICAL RESEARCH BLDG,714.8,4161.40,"39,065,136.40",433.3,College/University,1,Not Available,3400 N. Broad Street,2000,Not Available,117180,4169.10,11709431.30,,777531000
"1,205,396.70",3893000,19139,West Philadelphia Regional Center,112.1,196.8,Not Available,56.2,College/University,3,Not Available,4725 Chestnut Street,1992,Not Available,39090,144.8,992092.20,,774571000
"21,250,033.40",3330912,19141,Central HS,178.9,1795.30,Not Available,123.7,K-12 School,1,26,1700 W OLNEY AVE,1939,Not Available,212097,3398.90,4979923.20,,785373600
"36,139,609.00",2492942,19143,Mercy Philadelphia Hospital,215.6,5947.00,Not Available,108,Hospital (General Medical & Surgical),1,100,501 South 54th Street,1918,-,613550,14743.40,30005749.00,,774005000
"2,741,634.10",1548288,19131,PHILADELPHIA WEST (2124),212.1,1471.50,Not Available,78.9,Retail Store,1,77,4000 MONUMENT RD,2007,Not Available,160219,3256.20,9904561.70,,882150610
"4,653,388.40",3330835,19147,Jackson,134.6,371.8,Not Available,96.3,K-12 School,1,51,1213 S. 12 ST,1925,Not Available,58000,676.3,930917.80,,781092000
"99,870.10",3498652,19118,Jenks John,133.1,417.5,Not Available,88.1,K-12 School,1,38,8301 GERMANTOWN AVE,1924,"3,543,701.80",54000,349.4,1114969.30,,784167600
"4,058,196.20",3330938,19144,Lingelbach,109.5,337.2,Not Available,76.5,K-12 School,1,63,6340 WAYNE AVE,1956,Not Available,64963,1951.60,908655.90,,784473400
Not Available,3955030,19107,Urban Growth Property,745.6,273.8,Not Available,237.5,Parking,1,Not Available,107 South 10th Street,2005,Not Available,209962,172.8,2045604.90,,883401700
Not Available,3884927,19154,Torresdale Medical Building,297.6,762.8,Not Available,94.8,Medical Office,1,23,10810 Knights Road,1985,Not Available,60122,,5698135.50,,778017200
Not Available,3707307,19148,PECO Oregon Shops,126.1,837.8,Not Available,40.2,Other - Utility,1,Not Available,2610 S DELAWARE AVE,1955,Not Available,155863,0.7,6258290.40,,771601000
"6,705.00",3583475,19103,Greenfield,114.2,506.1,"2,547,198.70",52.8,K-12 School,1,65,2200 CHESTNUT ST,1968,Not Available,96000,632,2514199.10,,782092400
"3,856,112.30",3773012,19104,Homewood Suites University City,199.4,967.1,Not Available,86.8,Hotel,1,41,4109 Walnut Street,2012,Not Available,110000,5875.10,5694593.90,,883733000
"2,562,215.60",1548255,19134,PHILA-BRIDESBURG (2075),199.1,1183.70,Not Available,75.9,Retail Store,1,80,2701 CASTOR AVE,2005,Not Available,136940,4486.90,7825715.40,,882070900
Not Available,3644299,19102,1401 Arch St.,235.3,1788.40,Not Available,75,Office,1,42,1401 Arch St.,1960,Not Available,178250,4021.80,13360010.10,,883056905
"25,430,707.70",3694569,19140,Berridge Shop,234.7,4965.50,Not Available,110.4,Other - Public Services,2,Not Available,200 West Wyoming Avenue,1955,-,475000,6431.00,27002520.20,,884353345
-,3679592,19110,Land Title Building,167.1,2600.20,Not Available,53.2,Office,1,84,100 S. Broad St.,1890,Not Available,365000,6460.40,19423932.50,,883336000
Not Available,3890976,19103,1420-22 Chestnut Street,203.5,1236.40,"11,790,201.00",124.4,Office,1,65,1420 Chestnut St,1948,Not Available,122000,1476.40,3388295.50,,883035500
"1,839,852.10",3642358,19136,Clear Channel Outdoor,94.3,234.5,Not Available,52.5,Office,1,96,9130 State Road,1961,Not Available,76145,93.9,1021515.30,,884265000
"3,703,100.00",1260775,19145,07715-Oregon & 19th,565.5,1224.70,Not Available,229.9,Supermarket/Grocery Store,1,58,1901 Johnston Street,2003,Not Available,49514,1159.00,7679211.00,,882351850
Not Available,3783067,19134,"CRAMCO, INC. WEIKEL STREET BUILDING",11.2,32.3,Not Available,3.6,Self-Storage Facility,1,Not Available,2916 Weikel Street,1930,Not Available,67550,,241633.80,,884671900
"129,287,576.30",3881571,19116,Mondelez International,515,14690.90,Not Available,302.8,Manufacturing/Industrial Plant,1,Not Available,12000 East Roosevelt Boulevard,1955,Not Available,620000,11710.80,58445103.40,,884243000
-,3983813,19122,WEISS,276.8,2223.30,"15,680,610.90",195.9,College/University,1,Not Available,1701 N. 13TH,2000,Not Available,159000,2253.50,4517911.10,,777568900
"355,484.10",3325211,19104,3401 Market St.,264.2,1069.50,"2,881,273.20",106.3,Office,1,Not Available,3401 Market St.,1930,Not Available,90817,1300.80,6418845.50,,883072000
Not Available,3891122,19148,Samuels and Son Seafood,,,Not Available,,Food Sales,1,Not Available,3400 S. Lawrence St.,2009,Not Available,61054,,,,884153505
"2,356,762.80",3954376,19114,S. Walter Packaging,107.8,640.2,Not Available,46,Manufacturing/Industrial Plant,1,Not Available,2900 Grant Ave,1965,Not Available,135000,359,3847623.70,,884224500
"3,330,958.70",4393304,19134,Police Tactical / Warehouse,125.9,312.3,Not Available,81.9,Non-Refrigerated Warehouse,1,13,660 E Erie Ave,1982,Not Available,53000,178.8,1011519.50,,786124800
Not Available,3773931,19106,WTXF TV,654.3,2189.10,"4,245,297.40",242.8,Other - Technology/Science,1,Not Available,330 Market Street,1971,Not Available,84596,751.7,14247467.90,,883011500
"6,492,600.00",4092247,19132,Pathmark Store 6557,781.5,1733.00,Not Available,334.6,Supermarket/Grocery Store,1,27,1405 Glenwood Ave.,1998,Not Available,50388,3376.70,10369491.10,,882736105
"19,536,681.10",3690996,19132,Allegheny Depot,239.4,2286.30,Not Available,138.8,Other - Public Services,1,Not Available,2600 W. Allegheny Avenue,1986,-,208000,5279.00,9327043.20,,884352645
"17,236.80",3641868,19107,College Building,550.3,4997.10,"25,807,116.70",296.3,Office,1,2,1025 Walnut Street,1928,Not Available,191783,5666.50,20318248.50,,771020000
"2,153,050.20",3330955,19124,Stearne,103,352.3,Not Available,51.6,K-12 School,1,65,1655 UNITY ST,1966,Not Available,76150,1441.80,1777828.70,,786424600
Not Available,3782267,19131,59th street,18.8,601.4,Not Available,6,Non-Refrigerated Warehouse,1,94,2001 north 59th street,1953,Not Available,750000,,4492385.90,,884220500
"1,484,089.40",3989162,19153,7400 Holstein Ave.,208.6,481.8,Not Available,85.1,Other,1,Not Available,7400 Holstein Ave.,2003,Not Available,52800,206.1,3010637.20,,884167024
Not Available,3512112,19140,GLC 19070/160 W ERIE AVE/PHILADELPHIA/PA,133.9,343.4,Not Available,42.6,Office,1,89,160 W ERIE AVE,1905,Not Available,60158,787,2565595.40,,777634005
59.7,3998046,19140,OLD MED SCHOOL,295.9,2121.80,"10,825,962.40",137.3,College/University,1,Not Available,3400 N. Broad Street,2000,Not Available,155228,14573.20,10480483.40,,777530000
"1,067,863.70",3883890,19116,Ardex Laboratories Inc,68.3,228.7,Not Available,31.2,Manufacturing/Industrial Plant,1,Not Available,2050 Byberry Road,1968,Not Available,75440,1217.80,1284858.90,,884235500
"2,620,121.20",1548013,19116,PHILADELPHIA NE (1809),164.8,1050.10,Not Available,64.4,Retail Store,1,87,11000 ROOSEVELT BLVD STE 3,2003,Not Available,146378,1297.40,6804926.90,,882070800
"344,880.60",3330908,19134,Webster,124.1,600.1,Not Available,67.8,K-12 School,1,37,3400 FRANKFORD AVE,1968,"3,506,166.00",92275,8190.00,2402389.20,,786146001
"4,791,800.10",1260382,19115,07747-Red Lion,515.9,1624.60,Not Available,208.6,Supermarket/Grocery Store,1,74,920 Red Lion Road,1997,Not Available,72048,707,10235037.80,,882875620
"5,624,598.80",3330894,19133,Potter-Thomas,150.3,559,Not Available,94.7,K-12 School,1,48,3001 N 6TH ST,1969,Not Available,79933,617.9,1944438.10,,786687200
"416,342.40",3989965,19135,Tacony,30.7,80.1,Not Available,14.5,Self-Storage Facility,1,Not Available,6371 Keystone St.,2005,Not Available,58500,0.1,433304.20,,884177795
"24,096,069.70",3876347,19148,UPS Oregon Ave,173.5,3226.70,Not Available,94.4,Distribution Center,1,46,15 E Oregon Ave,1967,Not Available,409119,2116.80,14542974.40,,884136200
"264,787.10",3330735,19121,Dick,115.7,476.5,Not Available,77.4,K-12 School,1,29,2498 W DIAMOND ST,1954,"3,982,403.90",71000,646.2,1246767.00,,784108400
"2,476,099.90",3229069,19146,PHPA,147.6,391.2,Not Available,75,Non-Refrigerated Warehouse,1,39,1550 South Warfield St,1962,Not Available,58887,146,1939554.80,,884124000
"1,705.00",3652506,19104,Monell Center,376.3,1069.80,"5,417,782.80",174.1,Office,1,Not Available,3508 Market Street,1970,Not Available,61589,564.5,5304018.80,,774688100
"1,828,315.20",3966799,19154,11620 Caroline Rd.,73.3,236.5,Not Available,40.5,Non-Refrigerated Warehouse,1,Not Available,11620 Caroline Rd.,1970,Not Available,70814,118.5,1041411.70,,884270000
"14,365,490.90",3694564,19143,Woodland Shop,131.2,1585.70,Not Available,78.3,Other - Public Services,1,Not Available,4901 Woodland Avenue,1985,Not Available,262000,1558.20,6145694.40,,773629501
"569,975.80",3877972,19153,Simeone Foundation Automotive Museum,58,86.4,Not Available,30,Museum,1,Not Available,6825 Norwitch Drive,2012,Not Available,33000,73.6,419403.00,,884163400
"2,100,820.40",3776480,19141,Logan Plaza,180.1,2108.20,Not Available,62.5,Other,6,Not Available,5201 Old York Rd,1974,Not Available,270000,14200.20,14915271.40,,
Not Available,3875831,19120,Front and Olney,203.2,610.6,Not Available,64.7,Office,1,55,101 East Olney Ave,1980,Not Available,70494,1716.20,4561489.20,,883382000
Not Available,3893019,19046,Holy Redeemer Health System - Verree Rd,141.2,2203.20,Not Available,45,Senior Care Community,1,96,8580 Verree Rd,1981,Not Available,366000,22252.50,16458672.50,,881448900
"19,065.40",3894194,19131,Global Leadership Academy Charter School,229.9,522.9,Not Available,73.5,K-12 School,1,63,4601 W. Girard Avenue,2010,Not Available,53331,262,3898592.10,,774157500
Not Available,3679497,19114,Bodek and Rhodes,95.5,883.9,Not Available,30.4,Non-Refrigerated Warehouse,1,83,2951 Grant Ave,1960,Not Available,217000,1.8,6602820.50,,884287500
Not Available,4393307,19143,Bartram Transfer Station- Fleet Shop 290,31.7,286.7,Not Available,19.7,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",1,Not Available,5014 Grays Avenue,1959,"2,261,916.80",159958,158.6,887572.40,,783181200
"3,347,656.10",3669806,19114,07742-Academy,571.6,1268.90,Not Available,225.8,Supermarket/Grocery Store,1,59,3200 Red Lion Rd,1981,Not Available,50918,508.6,8150380.90,,882097600
Not Available,3862680,19146,Tuttleman Parking Garage,20.6,137.1,Not Available,6.6,Parking,1,Not Available,1700 South St,1985,Not Available,156232,55.2,1024225.10,,772035000
"17,906,406.50",1467329,19107,ARAMARK Tower,193.3,6405.80,Not Available,77.3,Office,1,83,1101 Market Street,1984,Not Available,759072,11205.10,40747912.40,,883308700
Not Available,4055796,19131,Pathmark Store 6556,,,Not Available,,Supermarket/Grocery Store,1,Not Available,4160 Monument Road,1980,Not Available,67133,3993.10,10283375.60,,882092500
"7,739,221.10",3687911,19153,Sheraton Suites Philadelphia Airport,215.3,1827.20,Not Available,95.4,Hotel,1,52,4101 Island ave,1985,Not Available,192000,10117.90,10570986.70,,883742000
"2,239,276.80",3638505,19103,The Windsor Suites,121.6,2220.00,"9,465,746.80",57.2,Hotel,1,82,1700 Benjamin Franklin Parkway,1963,Not Available,218792,14421.30,11000417.70,,883720300
"2,053,747.30",2215089,19154,Elliott-Lewis Corporate HQ,159.9,439.9,Not Available,73,Non-Refrigerated Warehouse,1,46,2900 Black Lake Place,2000,Not Available,62000,315.7,2471206.50,,884292573
"3,488,651.80",3788556,19146,St. Gabriel Church,93.1,246.7,Not Available,72,Worship Facility,3,Not Available,1432 S. 29th St.,1895,Not Available,54839,425.4,458844.10,,773259000
Not Available,3979429,19121,PKG GAR_ LIACOURAS CTR,23.5,410,Not Available,7.5,Parking,1,Not Available,1700 N. 15TH STREET,1970,Not Available,409339,549.5,3062545.30,,777573005
Not Available,3970936,19103,College of Physicians,193.2,612.7,"2,949,142.90",87.9,Museum,1,Not Available,19 S. 22nd Street,1909,Not Available,68967,859.9,3113866.30,,772525500
"1,845,292.60",3958313,19154,10350 Drummond Rd.,93.4,409.7,Not Available,42.2,Non-Refrigerated Warehouse,1,45,10360 Drummond Rd,1973,Not Available,99000,372.7,2328265.20,,884283501
"1,726.10",3862659,19104,"1,2,3,4-Main,Randell,Curtis,Alumni",296.9,4419.90,"13,467,643.80",119.5,College/University,4,Not Available,3101 Chestnut Street,1891,Not Available,333089,16714.90,26336944.80,,774516000
"278,733.30",3330944,19141,Cooke,118.3,866.6,Not Available,89.5,K-12 School,1,36,1300 W LOUDON ST,1923,"8,710,698.20",117600,579.7,1534102.10,,785372800
"38,796.40",3330724,19115,Greenberg,90.1,455.7,Not Available,55.5,K-12 School,1,90,600 SHARON LANE,1965,"3,523,277.90",90000,569.2,1435774.40,,786010200
"9,060,663.30",3653104,19106,Bourse Building,140.5,2566.70,Not Available,59.6,Office,1,84,111 S. Independence Mall East,1895,Not Available,413228,5862.00,15578410.70,,
Not Available,3330940,19138,Hill-Freedman,183,366.3,Not Available,58.3,K-12 School,1,30,6200 CRITTENDEN ST,1980,Not Available,46959,310.3,2736509.60,,784453800
"68,466,611.50",3675619,19131,Philadelphia College of Osteopathic Medicine,378.2,7170.70,Not Available,231.8,College/University,4,Not Available,4190 City Ave,1972,Not Available,409268,13976.70,26400479.70,,774010040
"4,750,353.80",3637376,19118,United Cerebral Palsy Association,77.2,632.3,Not Available,42.2,Other,0,Not Available,102 E. Mermaid Lane,1945,Not Available,180000,645,2838877.50,,775527010
"16,829,835.40",3697785,19131,Belmont Water Treatment Plant,440.8,1925.80,Not Available,258.3,Drinking Water Treatment & Distribution,2,Not Available,4300 Ford Road,1965,Not Available,95000,1186.40,7708598.50,,783042600
"13,600,616.70",3966677,19132,Pep Boys,129,2905.00,Not Available,58.9,Office,1,92,3111 West Allegheny Avenue,1928,Not Available,509500,2107.80,16304177.20,,884130000
"663,064.10",3963040,19124,BASIC INVESTMENT INC,18.6,73,Not Available,11.1,Distribution Center,1,90,3700 KENSINGTON AV,1920,Not Available,85064,20.9,282031.90,,884110700
"3,910,919.80",3570108,19132,2815 N. 17TH STREET,245.8,661.5,Not Available,121.7,Residence Hall/Dormitory,1,24,2815 N. 17TH STREET,1945,Not Available,60000,6204.60,3389860.60,,881427010
"178,189.60",3330949,19120,Barton,99.7,425.3,Not Available,68.7,K-12 School,1,61,4600 ROSEHILL ST,1925,"3,755,246.40",72200,743.9,1024428.80,,785531800
"4,629,240.90",3637394,19114,Campus Center,130.8,538.4,Not Available,76.1,College/University,1,Not Available,9801 Frankford Avenue,1988,Not Available,89596,1012.80,2185054.70,,778503000
"1,374,065.50",3689997,19148,Sysco Philadelphia Food Service Warehouse,130.3,3227.10,Not Available,43.1,Refrigerated Warehouse,1,85,600 packer avenue,1964,Not Available,534870,8707.60,23561596.70,,884142260
"2,031,632.40",4083183,19154,Select Nutrition Distributors,173.3,829.9,Not Available,67.5,Distribution Center,1,32,2722 Commerce Way,2000,Not Available,110000,569.8,5393191.40,,884292596
Not Available,4104223,19104,Amtrak Parking Garage,21.2,429.7,Not Available,6.8,Parking,1,Not Available,2931L Arch Street,2004,Not Available,475200,,3209744.50,,883410400
"2,712,993.10",3634201,19102,Peirce College,204.5,843.5,Not Available,84.3,College/University,1,Not Available,1420 Pine St.,1898,Not Available,94151,796.7,5224532.90,,772513020
"318,983.40",3916373,19116,Metals USA,112.8,411.6,Not Available,38.4,Manufacturing/Industrial Plant,1,Not Available,11200 Roosevelt Blvd.,1966,Not Available,85000,170.6,2947968.00,,884242000
"3,984,807.70",3330974,19152,Meehan,93.2,843.9,Not Available,42.7,K-12 School,1,77,3001 RYAN AVE,1973,Not Available,204093,3017.40,4723170.20,,786482200
"5,954,866.40",3929883,19124,Philadelphia Cheesesteak Company,1014.20,3335.80,Not Available,375.1,Manufacturing/Industrial Plant,1,1,520 E. Hunting Park Avenue,1955,Not Available,136000,10494.50,22556281.60,,884052400
"4,705,029.00",3330808,19147,CAPA,167.7,1230.80,Not Available,72.2,K-12 School,1,33,901 S BROAD ST,1997,Not Available,166630,2431.00,7327604.40,,781021910
"1,680,904.20",3114250,19152,PHILA-COTTMAN (2418),165.1,978.6,Not Available,60.7,Retail Store,1,86,7400 BUSTLETON AVE,2009,Not Available,137054,1264.10,6643256.10,,882131101
"465,443.10",3321455,19104,3440 Market St,253.3,4801.50,Not Available,83.3,Office,1,36,3440 Market St,1981,Not Available,117848,1356.00,9351374.20,,883076510
"3,487,126.90",3330967,19120,Feltonville Arts,171.3,598.6,Not Available,84.3,K-12 School,1,36,210 E Coutland St,1995,Not Available,78000,275.4,3088405.90,,785127900
Not Available,3512079,19131,GLC 13030/5160 LANCASTER AVE/PHILADELPHIA/PA,400.4,887.9,Not Available,127.5,Office,1,2,5160 LANCASTER AVE,1905,Not Available,52021,143,6632914.40,,774606005
Not Available,3512103,19144,GLC 14130/100 E ARMAT ST/PHILADELPHIA/PA,121.8,341.2,Not Available,38.8,Other,1,86,100 E ARMAT ST,1905,Not Available,64668,136,2548733.30,,883377060
"6,361,842.30",3330925,19119,Houston,141.2,486.5,Not Available,103.8,K-12 School,1,30,7300 RURAL LANE,1927,Not Available,72000,6362.30,1110241.30,,784003600
"425,976.90",3989904,19111,Fox Chase,26.3,84.3,Not Available,12.3,Self-Storage Facility,1,Not Available,1333 Rhawn St.,2005,Not Available,71945,390.9,460787.20,,884222525
"1,005,685.80",3635927,19106,omni hotel,240.4,1160.00,Not Available,82.5,Hotel,1,49,401 chestnut street,1989,Not Available,112380,10042.50,8266218.30,,883711500
"4,732,061.10",3963240,19115,Oakwood Healthcare,253.2,850.1,Not Available,122.6,Senior Care Community,1,43,2109 Red Lion Road,1967,Not Available,75080,5304.00,4472579.30,,881435100
"1,408,399.80",3982225,19125,Columbus Blvd. 2055,51.7,170.4,Not Available,29.5,Non-Refrigerated Warehouse,1,Not Available,2055 Richmond St.,1970,Not Available,72000,30.7,714199.80,,884105000
-,3955734,19140,FSU,614.2,4158.00,"33,518,647.20",343.9,College/University,1,Not Available,3340 N BROAD ST,2000,Not Available,139460,686.7,14435271.20,,777528325
"84,689.50",3330839,19147,Nebinger,143.3,521,Not Available,105.6,K-12 School,1,18,601 CARPENTER ST,1925,"5,133,737.90",59000,485.5,1012668.30,,781042400
Not Available,3878558,19103,One Franklin Town - Parking Garage,26.1,136.3,Not Available,8.3,Other,1,Not Available,1701 Callowhill Street,1988,Not Available,122667,1.5,1018154.80,,881146355
"52,540.50",3830246,19107,The Philadelphia Building,178.9,1920.90,"2,763,549.80",64,Office,1,81,1315 Walnut Street,1927,Not Available,207778,4053.00,12957656.90,,883021000
"2,689,600.00",3858153,19153,DHL/PHL,83.4,366.1,Not Available,45.1,Not Available,1,75,7600 Holstein Ave,2005,Not Available,,182,1667354.00,,884167016
"2,719,907.00",3330890,19133,Hartranft,113.5,433.9,Not Available,57.4,K-12 School,1,46,720 WEST CUMBERLAND ST,1968,Not Available,85000,407,2162336.60,,785575000
Not Available,3408212,19123,Fire Administration,335.5,723.8,Not Available,106.9,Office,1,22,276 Spring Garden St,1975,Not Available,50601,1048.10,5407016.90,,781398000
"5,686,961.50",3681794,19130,CCP Main Campus-West,28.3,719.4,Not Available,15.8,College/University,5,Not Available,1700 Spring Garden St,1982,Not Available,556554,1083.30,3117653.60,,772534700
Not Available,3895425,19103,Gateway Garage,18.6,335,Not Available,5.9,Parking,1,Not Available,1529 Spring Street,1991,Not Available,423184,41.2,2502718.40,,782597700
730.6,3995355,19140,KRESGE SCIENCE HALL,549.4,3382.80,"23,492,237.90",287.1,College/University,1,Not Available,3440 N. Broad Street,2000,Not Available,129260,9119.50,13617135.00,,777531100
"159,286.50",3443035,19104,30th St.,172.3,606.4,"1,549,186.70",68.3,Office,1,75,120 S. 30th St.,1917,Not Available,79200,2708.10,3698065.50,,773717200
"4,364,275.40",3685555,19116,ROOSEVELT BOULEVARD ASSOC.,41.8,569.1,Not Available,23.1,Other,1,Not Available,11500 E. ROOSEVELT BLVD.,1956,Not Available,298627,3309.40,2519645.70,,884242700
Not Available,3820208,19153,PreFlight Airport Parking PHL,35.2,331.4,Not Available,11.2,Parking,1,Not Available,4700 Island Ave,1959,Not Available,221000,164.3,2475561.90,,884171500
"5,772,322.70",3882111,19139,Care Pavilion Nursing,380.9,1651.30,Not Available,160.2,Senior Care Community,1,Not Available,6212 Walnut Street,1972,Not Available,98723,13454.10,10044883.60,,881446200
"117,839.50",3760838,19148,Devon Self Storage Oregon,16.4,113.1,Not Available,5.7,Self-Storage Facility,1,Not Available,12 East Oregon Ave,1920,Not Available,160000,99.1,798426.10,,884140610
"16,463,140.10",3330806,19148,South Philadelphia,97.2,1510.80,Not Available,64,K-12 School,1,91,2101 SOUTH BROAD ST,1956,Not Available,331440,2846.20,4753751.90,,781022700
"2,767,829.70",3633532,19154,United Refrigeration Inc. Warehouse 90,69.7,508.6,Not Available,33.5,Distribution Center,1,81,11451 Roosevelt Blvd.,1959,Not Available,163386,377.9,2700901.70,,884268000
"33,554,589.20",3597850,19124,CDC,85.6,4647.80,Not Available,45.9,Distribution Center,1,80,5501 Whitaker Ave,1964,Not Available,1197220,11478.80,21406147.60,,884120510
"6,906,372.60",4068971,19114,Frankford Candy,103.9,2305.20,Not Available,42.1,Distribution Center,1,61,9300 Ashton Rd,2004,Not Available,507587,542.8,14479995.70,,884227005
"183,127.40",3330954,19126,Ellwood,119,397.3,Not Available,84.6,K-12 School,1,42,6701 N 13TH ST,1957,"3,648,995.90",55621,630.9,872231.70,,785360600
Not Available,3883583,19104,Philadelphia-Lancaster Ave RC,107.5,439.6,"3,365,951.90",58.7,Non-Refrigerated Warehouse,1,48,3205 Lancaster Avenue,1916,Not Available,84798,288.2,1614144.90,,774520500
Not Available,4069478,19134,"Richard Hoffman, LLP",,,Not Available,,Non-Refrigerated Warehouse,1,Not Available,2100 E. Venango Street,1922,Not Available,100000,,,,884201600
Not Available,1269439,19103,PECO MAIN OFFICE BUILDING,270.6,10110.60,"4,131,747.30",89.1,Office,1,Not Available,2301 Market Street,1971,Not Available,897201,17.3,73478955.40,,883054500
Not Available,3635787,19134,Warehouse America,11.2,84.9,Not Available,3.6,Distribution Center,1,100,2235 E. Castor Ave.,1961,Not Available,178250,159.3,634543.60,,884193000
"2,133,311.80",3958192,19116,PeiGenesis,192.1,582.8,Not Available,81.7,Office,2,Not Available,2180 Hornig Rd,1987,Not Available,69000,541,3507433.60,,
Not Available,3783030,19130,Admin - Education Center,133.2,4740.00,Not Available,42.4,K-12 School,1,20,440 N BROAD ST,2005,Not Available,835000,3939.70,35408917.10,,884062510
"4,089,744.80",3880216,19114,Packaging and Distribution Center,444.4,2700.00,Not Available,160.9,Distribution Center,2,Not Available,3031 Red Lion Road,1970,Not Available,104797,817.6,18546946.20,,884289001
Not Available,3721175,19106,The Center at 714 Market,177.1,1664.10,Not Available,56.4,Office,4,81,714 Market Street,1900,Not Available,226200,37.2,12430987.40,,771645110
